Neptun;GO_TO_FIRST_OPTION;RESET_ACTUAL_VALUE;GAME_OVER;PROLONGE;BEEP_IF_OPTION_LIMIT_REACHED;LAST_SECOND_BEEP;ReadyImpl;SetStartPlayerImpl;SetStartTimeImpl;SetBonusTimeImpl;SetMaxTimeImpl;
EGVG9P;false;false;false;false;true;true;true;true;true;true;true;
H5H6P6;true;false;false;false;false;true;true;true;true;true;false;
JJ7ZJK;false;true;false;false;true;true;true;false;true;true;true;
JDI3IL;true;false;true;false;false;true;true;true;true;true;true;
MSZVBY;true;false;true;false;false;true;true;true;true;true;true;
CB5QAB;false;false;false;true;false;true;true;true;true;true;true;
AO4S5C;true;false;false;false;true;false;true;true;true;true;false;
GY2JAX;false;true;false;false;true;true;true;true;true;true;false;
HGL57H;false;true;false;false;true;true;true;false;true;true;false;
BAMRHY;true;false;true;false;false;false;true;true;true;true;true;
CF2ALA;false;true;false;false;false;true;true;true;true;true;false;
HDWUML;false;false;false;false;true;true;false;true;true;true;true;
ON82HB;false;false;false;true;true;true;true;true;true;true;false;
EW5EM9;false;true;false;false;false;true;true;true;true;true;false;
LA7VEL;false;false;false;false;true;true;true;true;true;true;false;
KQFJQD;false;false;false;true;false;true;true;false;true;true;false;
HIRS9B;false;false;true;false;false;true;false;true;true;true;false;
DWMD5Q;false;false;false;true;true;false;true;true;true;true;true;
F65PBK;false;false;false;true;false;true;true;true;true;true;true;
M1Y8AJ;false;false;false;true;false;true;false;true;true;true;true;
ASQLN0;false;false;true;false;true;false;true;true;true;true;false;
SQZP3S;false;false;true;false;true;true;false;false;true;true;false;
UPRPGG;false;true;true;false;false;true;true;true;true;true;false;
OFAPYD;false;false;true;false;true;true;false;false;true;true;false;
XE7S6F;false;false;false;true;true;false;true;false;true;true;false;
HBTXBL;true;false;false;false;false;true;true;true;true;true;true;
WLPOR5;true;false;true;false;false;false;true;true;true;true;false;
G7CQ2D;true;false;false;false;false;true;true;true;true;true;true;
Q1A8C5;false;true;true;false;true;false;true;false;true;true;false;
R85684;false;true;true;false;true;true;true;false;true;true;false;
FQ0Y7K;false;true;false;true;false;false;true;true;true;true;false;
FXC4I7;false;false;true;false;true;false;true;true;true;true;false;
E0Z7SL;false;true;true;false;false;true;true;false;true;true;true;
LD8CAO;false;true;false;false;true;true;true;true;true;true;true;
GF4UZL;false;true;true;false;false;false;true;true;true;true;true;
ZW702H;true;false;false;true;true;false;true;false;true;true;true;
X54948;true;false;false;false;false;true;true;true;true;true;false;
E50Z0T;false;true;false;false;true;true;true;true;true;true;false;
W38IJ1;false;false;true;false;true;false;true;true;true;true;false;
JFJ43E;false;false;false;true;true;false;false;true;true;true;true;
C24J1U;false;false;true;false;true;false;false;true;true;true;true;
MHPUDF;true;false;false;true;false;false;true;true;true;true;true;
URJRNC;false;false;false;true;false;true;true;true;true;true;false;
JOO4RT;true;false;true;false;true;false;true;false;true;true;false;
YOMPPI;false;true;false;false;true;true;true;true;true;true;true;
HQ46RX;true;false;false;true;false;true;true;false;true;true;true;
MZ8Q7B;false;false;false;true;false;false;true;true;true;true;false;
T7LR7R;false;true;true;false;true;false;true;false;true;true;false;
TBBFNC;false;false;false;false;true;true;true;true;true;true;false;
IWOFHH;true;false;false;false;true;true;true;false;true;true;false;
HV0R9S;true;false;false;false;true;true;true;false;true;true;true;
HDSPVQ;false;true;false;false;false;true;true;true;true;true;false;
EAG5ZO;false;true;false;true;false;true;true;false;true;true;true;
WL7FSJ;false;false;true;false;true;false;true;true;true;true;false;
WQJXAJ;false;true;true;false;true;false;true;true;true;true;false;
EDLLE3;false;false;true;false;false;true;true;true;true;true;false;
NEY97C;true;false;true;false;true;false;true;true;true;true;false;
Y32ZDZ;false;true;false;false;true;false;true;true;true;true;true;
GIM5E5;false;true;true;false;false;true;true;false;true;true;false;
K0MXNJ;false;true;false;true;false;false;true;true;true;true;true;
SVAKH4;true;false;false;false;true;false;true;true;true;true;true;
YBY8BK;true;false;true;false;false;true;true;false;true;true;true;
AVOGZB;true;false;false;false;false;true;true;true;true;true;true;
TIIL0K;false;true;false;true;false;true;true;true;true;true;false;
OKN8OO;false;true;true;false;false;false;true;true;true;true;false;
IJ0W85;true;false;false;true;false;false;true;false;true;true;false;
BF1AJP;false;true;true;false;false;false;true;true;true;true;false;
UD8CML;false;false;true;false;true;false;false;true;true;true;true;
HD70D1;true;false;true;false;false;false;true;true;true;true;false;
USDUX5;false;false;false;true;true;true;false;true;true;true;false;
GMN2QN;false;false;false;true;true;false;true;true;true;true;false;
AZFW0B;false;false;false;true;false;false;true;true;true;true;false;
F9MLB3;false;false;false;false;true;true;false;true;true;true;true;
WFK8U4;false;false;false;true;false;false;true;true;true;true;false;
IFO7WO;true;false;false;true;false;false;true;false;true;true;false;
LEFU1D;false;true;true;false;true;false;true;true;true;true;true;
O1Q227;false;false;false;true;true;false;false;false;true;true;false;
AF1WZU;true;false;false;true;true;false;true;true;true;true;false;
A2SYE8;false;true;false;false;true;false;true;true;true;true;false;
G1CH4I;false;false;true;false;true;true;true;true;true;true;false;
IP1LXW;false;false;false;true;false;false;false;true;true;true;true;
BJ1W0I;false;false;false;false;true;true;false;true;true;true;true;
E8VQ35;false;true;false;true;false;false;true;false;true;true;false;
DBDJ68;false;false;false;true;true;false;true;true;true;true;true;
GLNE8V;false;true;false;true;true;true;true;false;true;true;false;
B06FMG;false;false;false;true;true;false;true;true;true;true;false;
K916HA;true;false;false;false;true;false;true;true;true;true;false;
BL06CX;false;false;false;true;false;false;true;true;true;true;true;
HYYBLO;false;false;false;true;true;true;false;true;true;true;false;
X78258;false;false;true;false;false;true;false;true;true;true;false;
DBP27Y;true;false;false;false;true;true;true;true;true;true;true;
MDT72T;false;true;false;false;false;true;true;true;true;true;true;
I0P3RO;false;true;true;false;false;false;true;true;true;true;false;
ZBRZFP;false;true;true;false;false;false;true;true;true;true;false;
ADJTVB;true;false;true;false;false;true;true;false;true;true;false;
XGXP0U;false;false;false;true;false;true;true;false;true;true;true;
J9PCWO;false;false;true;false;false;true;true;true;true;true;false;
IZT47I;false;true;true;false;true;false;true;false;true;true;true;
PA0X0Q;true;false;false;true;false;true;true;false;true;true;false;
SG8TY0;true;false;false;false;false;true;true;true;true;true;false;
I7XI7P;false;true;true;false;false;false;true;true;true;true;true;
DMPN24;true;false;true;false;true;true;true;true;true;true;false;
HH1XLH;false;true;false;false;false;true;true;true;true;true;true;
D0PB18;false;true;false;true;false;false;true;true;true;true;false;
G24TCR;true;false;false;true;false;false;true;true;true;true;false;
BC6FSP;false;false;true;false;false;true;false;true;true;true;true;
RQF877;false;true;false;true;true;false;true;true;true;true;false;
FGCUAP;true;false;false;false;true;true;true;false;true;true;false;
EY1G7D;true;false;true;false;true;false;true;false;true;true;true;
Y94RY9;false;false;false;true;true;false;true;true;true;true;false;
LODI48;false;true;false;true;true;false;true;true;true;true;false;
OTXJ6C;true;false;false;true;false;true;true;false;true;true;false;
TLCXYA;false;true;false;false;true;false;true;true;true;true;false;
CDM2RA;false;false;true;false;false;true;false;true;true;true;false;
LYFA29;false;false;true;false;true;false;false;true;true;true;false;
AV4SQO;false;true;true;false;true;false;true;true;true;true;false;
IHTUO1;true;false;true;false;true;true;true;false;true;true;false;
ZHS8UP;true;false;false;true;true;true;true;false;true;true;false;
I9Z28H;false;false;true;false;true;false;true;true;true;true;false;
FLWTMT;true;false;true;false;false;false;true;true;true;true;true;
SR72DR;false;false;false;true;false;true;true;false;true;true;false;
HLWG0Q;false;false;false;false;true;true;false;true;true;true;false;
E0UTKP;false;true;false;false;true;true;true;true;true;true;true;
UT55G0;false;true;false;true;false;true;true;false;true;true;false;
K88DNI;false;false;true;false;false;true;true;true;true;true;true;
NF8KYQ;false;true;false;false;true;true;true;true;true;true;true;
JXIWPY;true;false;false;false;true;true;true;true;true;true;false;
IS8IJS;false;false;true;false;false;true;true;true;true;true;false;
BB85QA;true;false;false;true;false;false;true;true;true;true;true;
C8G9LW;true;false;true;false;true;false;true;true;true;true;false;
JPYEL5;false;false;false;true;true;true;false;true;true;true;false;
G5IJFF;true;false;true;false;false;true;true;true;true;true;true;
NEUFW8;true;false;true;false;true;true;true;false;true;true;false;
OVUMC2;true;false;true;false;true;false;true;true;true;true;false;
MAMYQL;false;false;true;false;false;true;true;true;true;true;false;
RD3QNE;false;false;false;true;false;true;false;false;true;true;false;
WPG1QB;false;false;false;true;false;true;false;true;true;true;true;
WXQ1HQ;false;false;false;true;false;false;false;true;true;true;true;
U0HBPJ;false;false;true;false;true;false;true;true;true;true;true;
H36T1J;false;false;false;true;true;false;true;false;true;true;false;
QNBE5T;false;true;false;true;false;true;true;true;true;true;false;
ZCH7OS;false;false;false;true;false;true;true;true;true;true;true;
NR8ON5;false;true;true;false;true;true;true;false;true;true;false;
BOQPT6;false;false;false;true;true;false;false;false;true;true;true;
RR59V1;false;false;true;false;false;true;false;true;true;true;false;
I0UA10;false;true;false;false;false;true;true;true;true;true;false;
E0ZUWP;false;true;true;false;false;true;true;true;true;true;true;
INA1VL;false;false;false;true;false;false;false;true;true;true;false;
QEEQSD;true;false;false;true;true;false;true;true;true;true;false;
MMO7I0;false;false;false;false;true;true;true;true;true;true;false;
MR5INZ;false;false;false;true;false;false;true;true;true;true;false;
OY7P82;true;false;false;false;true;false;true;true;true;true;true;
OTSFS3;false;false;true;false;true;false;true;true;true;true;true;
F0GH2S;false;true;true;false;true;false;true;true;true;true;false;
HGURZI;false;false;true;false;true;false;false;true;true;true;false;
AGVNXV;false;true;false;false;true;false;true;true;true;true;true;
CDKV5O;false;true;false;false;true;true;true;false;true;true;true;
OJ41DA;true;false;true;false;false;false;true;true;true;true;false;
TXEZOR;false;true;false;false;true;true;true;false;true;true;false;
AX4O7U;false;false;false;false;true;true;false;true;true;true;false;
GDL0HB;false;false;false;true;true;false;true;false;true;true;true;
DNXT1T;false;true;true;false;false;true;true;false;true;true;true;
PUENLH;true;false;true;false;true;true;true;false;true;true;true;
A9PACJ;false;true;true;false;false;false;true;true;true;true;false;
BO3K14;false;true;true;false;true;true;true;false;true;true;true;
DXUNBU;true;false;true;false;false;true;true;false;true;true;false;
CTGMAT;true;false;false;true;false;false;true;true;true;true;false;
GIPP3Y;false;false;true;false;false;true;true;true;true;true;true;
CF70RC;false;false;false;true;true;false;true;true;true;true;true;
G2R7EV;false;false;true;false;false;true;true;true;true;true;true;
ACD6T6;false;false;true;false;false;true;true;true;true;true;false;
WMG7P6;false;true;true;false;false;false;true;true;true;true;true;
MMV9Q8;true;false;true;false;false;false;true;true;true;true;false;
X72642;true;false;false;false;true;true;true;true;true;true;true;
C44ZM7;false;true;false;false;false;true;true;true;true;true;false;
TOWHXK;true;false;false;true;true;false;true;false;true;true;false;
B43SYE;false;false;false;true;true;false;true;false;true;true;false;
UP1V4W;true;false;false;false;true;false;true;true;true;true;false;
ZGC3UO;false;true;true;false;false;true;true;true;true;true;true;
RC092M;false;true;false;false;false;true;true;true;true;true;false;
KH30VP;false;true;true;false;false;false;true;true;true;true;true;
VZVAFK;false;false;false;true;true;true;false;false;true;true;true;
ARD04M;false;false;false;false;true;true;false;true;true;true;false;
XPEY13;true;false;true;false;false;false;true;true;true;true;true;
W5F6FP;false;false;true;false;true;false;false;true;true;true;false;
DMEM3S;false;true;false;false;false;true;true;true;true;true;false;
Z2PWV9;false;false;true;false;true;true;true;true;true;true;true;
FZONO0;false;true;true;false;false;true;true;true;true;true;true;
XD9T9V;false;false;false;true;false;false;false;true;true;true;false;
CG0O1R;false;true;true;false;false;false;true;true;true;true;false;
F9YTAY;false;false;true;false;true;true;false;true;true;true;true;
UP8AGP;true;false;false;true;false;false;true;true;true;true;false;
I2MAYU;false;false;false;true;true;true;false;true;true;true;false;
XAQGN7;false;false;true;false;false;true;false;true;true;true;true;
VG936K;false;false;false;true;false;true;true;false;true;true;true;
WJP4YR;false;true;true;false;true;true;true;true;true;true;false;
D9XLSG;false;false;true;false;true;false;false;true;true;true;true;
V95K2C;false;false;true;false;true;false;false;true;true;true;false;
OEP3XV;false;true;false;true;true;true;true;false;true;true;false;
LN3KLR;true;false;false;false;true;true;true;false;true;true;false;
VQDEYB;true;false;true;false;true;false;true;true;true;true;true;
TLXSKZ;true;false;false;false;false;true;true;true;true;true;false;
A3BC1G;false;false;false;true;false;true;false;false;true;true;true;
FSR38D;false;false;true;false;true;false;true;true;true;true;false;
PS6MA2;false;false;false;true;false;true;false;true;true;true;true;
YQ83HY;false;true;true;false;false;false;true;true;true;true;true;
FO1WS5;true;false;false;false;false;true;true;true;true;true;false;
DPCKOU;true;false;false;false;true;false;true;true;true;true;false;
C00P7Q;false;true;false;true;true;false;true;false;true;true;false;
M9TEFT;false;false;true;false;true;true;false;false;true;true;false;
J3JFCU;false;false;false;true;false;false;false;true;true;true;false;
CXDWCO;true;false;true;false;true;false;true;false;true;true;false;
G4WB7R;false;false;false;true;true;true;true;true;true;true;false;
E37L6L;false;false;true;false;true;false;true;true;true;true;true;
LF4LT6;false;true;true;false;true;true;true;false;true;true;true;
FRHZU1;true;false;true;false;true;true;true;true;true;true;false;
SKJPFY;false;true;false;true;false;true;true;false;true;true;true;
EECXEN;false;false;true;false;true;false;true;true;true;true;false;
RUPSNF;false;false;false;false;true;true;false;true;true;true;false;
OP19DJ;false;false;false;true;false;false;true;true;true;true;true;
OHHYSL;false;true;true;false;true;true;true;true;true;true;false;
L3WRL9;false;false;false;true;true;false;true;false;true;true;true;
RC3UGV;true;false;false;true;false;true;true;true;true;true;false;
D9BBLH;false;true;true;false;true;false;true;false;true;true;false;
ILE2S9;false;true;true;false;false;false;true;true;true;true;false;
C41OUB;false;true;true;false;false;true;true;false;true;true;false;
TFW91L;false;true;false;false;true;true;true;true;true;true;true;
HVA8K1;true;false;true;false;true;false;true;false;true;true;true;
IKTEC6;true;false;true;false;false;false;true;true;true;true;false;
GLX2FX;false;false;false;true;true;false;false;false;true;true;false;
N0S80B;false;false;false;true;false;false;true;true;true;true;false;
SGGN80;true;false;false;false;true;true;true;true;true;true;true;
C7GU13;false;false;false;true;false;true;true;true;true;true;false;
MPG13R;false;false;true;false;true;false;true;true;true;true;true;
H4BGKV;false;true;false;false;true;false;true;true;true;true;true;
KOF2VK;false;false;false;false;true;true;false;true;true;true;false;
WLYQ6H;false;true;true;false;true;false;true;true;true;true;false;
H526HA;true;false;false;false;false;true;true;true;true;true;false;
MWQCI9;true;false;true;false;true;true;true;true;true;true;false;
QQNKNM;false;false;false;true;true;false;true;true;true;true;false;
FCFE5P;false;true;false;true;false;true;true;false;true;true;true;
RF57V5;true;false;true;false;true;false;true;false;true;true;false;
KFK3T0;false;false;false;true;false;false;true;true;true;true;true;
AW3SLJ;true;false;false;false;true;true;true;false;true;true;true;
DV3OOH;false;true;true;false;true;true;true;true;true;true;false;
A7J0YI;false;true;false;true;false;true;true;true;true;true;false;
DA14D8;true;false;false;false;true;false;true;true;true;true;false;
U9BUEF;true;false;false;true;false;true;true;true;true;true;false;
G042FL;false;true;true;false;false;true;true;true;true;true;true;
YMJEAA;false;true;true;false;true;false;true;true;true;true;false;
DDZ590;true;false;false;false;true;false;true;true;true;true;false;
Y7L145;false;true;true;false;false;true;true;true;true;true;false;
ET7D8H;true;false;false;true;true;false;true;true;true;true;false;
JUV6QO;false;false;false;true;true;true;false;false;true;true;true;
B0H69D;false;false;true;false;false;true;false;true;true;true;false;
G83RXP;false;false;false;false;true;true;false;true;true;true;true;
HI8KFA;false;false;false;true;false;false;true;true;true;true;false;
MNT1OF;true;false;false;true;true;false;true;false;true;true;true;
PT9H3E;false;false;true;false;true;false;false;true;true;true;true;
V8DGCO;false;false;false;true;false;false;true;true;true;true;false;
ZQ9CW2;false;true;false;true;false;false;true;true;true;true;true;
URY8W2;false;true;true;false;true;false;true;true;true;true;true;
AXFXRO;true;false;true;false;true;true;true;false;true;true;true;
IDE9GZ;false;false;false;true;false;true;true;true;true;true;true;
DVI0L6;true;false;false;true;false;true;true;true;true;true;false;
II5ZCC;false;true;false;false;true;true;true;true;true;true;true;
QFRUCC;false;false;false;false;true;true;true;true;true;true;true;
ZB3PZJ;false;false;false;true;true;true;true;false;true;true;true;
E7FCHF;true;false;true;false;true;false;true;true;true;true;true;
PY82C7;false;true;true;false;false;true;true;false;true;true;false;
BR2LE6;false;false;false;true;true;false;false;true;true;true;true;
JX7HF6;false;false;true;false;true;false;false;true;true;true;false;
CUZZBI;false;true;false;false;true;false;true;true;true;true;true;
AFGC8N;true;false;true;false;false;false;true;true;true;true;false;
X91ZB1;false;true;true;false;false;false;true;true;true;true;false;
US5CQ8;false;true;false;false;true;false;true;true;true;true;false;
AZLU13;true;false;false;true;false;false;true;false;true;true;true;
DOX4P8;true;false;true;false;true;false;true;false;true;true;false;
X25EZO;false;true;true;false;false;true;true;true;true;true;false;
S84BYX;false;false;true;false;true;true;true;true;true;true;true;
K98S9K;true;false;true;false;true;false;true;true;true;true;false;
N5HQJJ;false;false;true;false;true;true;true;false;true;true;false;
DK3HTC;false;true;false;true;true;false;true;true;true;true;false;
S9SF6I;false;false;true;false;true;false;false;true;true;true;false;
C92L6H;false;false;false;true;false;false;false;true;true;true;false;
YS93EK;true;false;false;false;false;true;true;true;true;true;true;
X905ZK;false;false;false;false;true;true;true;true;true;true;false;
DM04Q5;false;false;false;false;true;true;false;true;true;true;true;
Q87UU5;false;true;false;true;false;false;true;false;true;true;false;
WSYCQ3;false;true;true;false;false;true;true;true;true;true;false;
BC4HFJ;false;false;false;true;false;true;true;true;true;true;false;
L08JXJ;false;false;false;false;true;true;false;true;true;true;false;
I6IKM9;false;false;true;false;true;false;false;true;true;true;false;
GIMEDU;false;false;false;false;true;true;true;true;true;true;false;
ZVZG2A;false;false;false;true;false;false;false;true;true;true;true;
H68JRC;false;false;false;true;true;false;true;true;true;true;false;
O1SUTI;true;false;false;false;true;true;true;true;true;true;true;
BPOYZT;false;false;true;false;true;true;true;false;true;true;true;
RAU2YH;true;false;false;false;true;false;true;true;true;true;true;
RTJU5F;true;false;false;true;false;true;true;false;true;true;true;
KBG1JP;false;false;true;false;true;true;true;false;true;true;false;
ZAAH34;false;false;true;false;true;true;false;true;true;true;true;
HKSVA0;false;true;false;false;true;true;true;false;true;true;true;
VXBOPM;false;false;true;false;true;true;true;false;true;true;true;
UKLVU9;true;false;false;false;true;true;true;true;true;true;false;
L88JN8;false;true;false;true;false;true;true;true;true;true;false;
JN12LH;false;false;true;false;true;true;false;true;true;true;true;
WFPTP9;true;false;false;true;false;false;true;true;true;true;true;
EIWO5O;false;false;true;false;true;true;false;true;true;true;true;
HWJEF7;true;false;true;false;true;false;true;true;true;true;true;
CDQUPJ;false;true;false;false;true;false;true;true;true;true;false;
JXFCCC;false;true;false;false;true;false;true;true;true;true;false;
JA6WNL;false;false;false;true;true;true;true;false;true;true;true;
JMTLEX;false;true;false;false;false;true;true;true;true;true;true;
QP6F6Z;false;false;true;false;false;true;false;true;true;true;false;
DB71V2;true;false;true;false;false;true;true;true;true;true;true;
TA94J1;true;false;false;true;false;false;true;false;true;true;true;
TP47VC;true;false;true;false;false;true;true;true;true;true;false;
DDUU2Y;true;false;false;true;true;false;true;false;true;true;false;
Y7G3ZL;false;false;false;true;false;false;false;true;true;true;false;
A5X7OI;false;false;true;false;true;false;true;true;true;true;false;
GQH7FW;true;false;false;true;false;false;true;false;true;true;false;
AXVIQZ;true;false;false;false;true;true;true;true;true;true;false;
L04P9O;false;false;true;false;false;true;true;true;true;true;false;
ZOTXL2;true;false;false;false;true;false;true;true;true;true;true;
FLNS3I;false;false;true;false;false;true;false;true;true;true;true;
