Időbélyeg;Pontszám;"1.	A végtelen ciklus (livelock)…";"2.	A modellező eszközök…";"3.	A futásidejű monitor… ";"4.	A tesztfedettség… ";"5.	A modellellenőrzés… ";"6.	A folyamatban egy elemi tevékenység vizitációs száma… ";"7.	A rendre XP és XQ átbocsátóképességű P és Q elemi tevékenységekből tetszőleges vezérlési elemekkel összeállított folyamat átbocsátóképessége… ";"8.	Hallgatók lábméretét, szemszínét és képzési fokát (BSc, MSc, PhD) vizsgáljuk.";"9.	Hallgatók lábméretét és a két Rendszermodellezés ZH-n elért összpontszámát vizsgáljuk.";"10.	A medián… "
5.17.2017 8:20:15;0;a) …jólstrukturált folyamatmodell esetén is előfordulhat., d) …esetén a rendszer a modelltől való eltérés nélkül nem képes elhagyni az állapottér egy bizonyos részét (pl.- ciklus), de azon belül képes lehet állapotváltozásra.;a) …egy modell különböző részeit különböző konkrét szintaxissal is megjeleníthetik.;;b) …0 és 1 közötti érték, c) …új tesztesetek elkészítésével növelhető;b) …matematikailag bizonyítja a modell helyességét., d) …képes példát mutatni rá, ha egy adott követelmény nem teljesül a modellben.;b) …a tevékenység átbocsátása és az egész folyamat átbocsátása közti arány;a) …min(XP, XQ), ha P és Q egy fork-join blokk két ága., b) … (XP + XQ), amennyiben szabad a döntés P és Q között;c) A képzés foka egy rendezett kategorikus változó.;;a) …megegyezik a második kvartilissel, és az 50%-os kvantilissel., c) …explicite fel van tüntetve a doboz diagramon (boxplot).
5.17.2017 9:01:17;0;b) …nem fordulhat elő, ha a folyamatmodell teljesen specifikált., d) …esetén a rendszer a modelltől való eltérés nélkül nem képes elhagyni az állapottér egy bizonyos részét (pl.- ciklus), de azon belül képes lehet állapotváltozásra.;a) …egy modell különböző részeit különböző konkrét szintaxissal is megjeleníthetik., d) …a strukturális helyességet az absztrakt szintaxison végzett statikus ellenőrzésekkel vizsgálhatják, akár szerkesztés közben is.;b) …bemeneti és kimeneti invariánsokat ellenőriz futás közben., d) …része a specifikáció alapján elkészült rendszernek.;b) …0 és 1 közötti érték, c) …új tesztesetek elkészítésével növelhető;d) …képes példát mutatni rá, ha egy adott követelmény nem teljesül a modellben.;b) …a tevékenység átbocsátása és az egész folyamat átbocsátása közti arány;a) …min(XP, XQ), ha P és Q egy fork-join blokk két ága., b) … (XP + XQ), amennyiben szabad a döntés P és Q között;c) A képzés foka egy rendezett kategorikus változó.;;c) …explicite fel van tüntetve a doboz diagramon (boxplot).
5.17.2017 9:06:27;0;d) …esetén a rendszer a modelltől való eltérés nélkül nem képes elhagyni az állapottér egy bizonyos részét (pl.- ciklus), de azon belül képes lehet állapotváltozásra.;a) …egy modell különböző részeit különböző konkrét szintaxissal is megjeleníthetik., d) …a strukturális helyességet az absztrakt szintaxison végzett statikus ellenőrzésekkel vizsgálhatják, akár szerkesztés közben is.;b) …bemeneti és kimeneti invariánsokat ellenőriz futás közben.;b) …0 és 1 közötti érték, c) …új tesztesetek elkészítésével növelhető;b) …matematikailag bizonyítja a modell helyességét., d) …képes példát mutatni rá, ha egy adott követelmény nem teljesül a modellben.;;a) …min(XP, XQ), ha P és Q egy fork-join blokk két ága., b) … (XP + XQ), amennyiben szabad a döntés P és Q között;c) A képzés foka egy rendezett kategorikus változó.;b) Ha a két változót párhuzamos koordináta diagramon ábrázolva azt tapasztaljuk, hogy a töröttvonalak párhuzamosak egymással, akkor a lábméret lineárisan függ a ZH összpontszámtól.;a) …megegyezik a második kvartilissel, és az 50%-os kvantilissel., c) …explicite fel van tüntetve a doboz diagramon (boxplot).
5.17.2017 9:08:03;0;d) …esetén a rendszer a modelltől való eltérés nélkül nem képes elhagyni az állapottér egy bizonyos részét (pl.- ciklus), de azon belül képes lehet állapotváltozásra.;;b) …bemeneti és kimeneti invariánsokat ellenőriz futás közben.;c) …új tesztesetek elkészítésével növelhető;;b) …a tevékenység átbocsátása és az egész folyamat átbocsátása közti arány, c) …kisebb vagy egyenlő az átbocsátóképességnél;a) …min(XP, XQ), ha P és Q egy fork-join blokk két ága., b) … (XP + XQ), amennyiben szabad a döntés P és Q között;c) A képzés foka egy rendezett kategorikus változó.;b) Ha a két változót párhuzamos koordináta diagramon ábrázolva azt tapasztaljuk, hogy a töröttvonalak párhuzamosak egymással, akkor a lábméret lineárisan függ a ZH összpontszámtól.;c) …explicite fel van tüntetve a doboz diagramon (boxplot).
5.17.2017 9:15:42;0;b) …nem fordulhat elő, ha a folyamatmodell teljesen specifikált., d) …esetén a rendszer a modelltől való eltérés nélkül nem képes elhagyni az állapottér egy bizonyos részét (pl.- ciklus), de azon belül képes lehet állapotváltozásra.;a) …egy modell különböző részeit különböző konkrét szintaxissal is megjeleníthetik., d) …a strukturális helyességet az absztrakt szintaxison végzett statikus ellenőrzésekkel vizsgálhatják, akár szerkesztés közben is.;b) …bemeneti és kimeneti invariánsokat ellenőriz futás közben., c) …helyettesíti a tesztelést, hiszen képes megakadályozni a hibás működést futás közben., d) …része a specifikáció alapján elkészült rendszernek.;b) …0 és 1 közötti érték;b) …matematikailag bizonyítja a modell helyességét.;;a) …min(XP, XQ), ha P és Q egy fork-join blokk két ága., b) … (XP + XQ), amennyiben szabad a döntés P és Q között;c) A képzés foka egy rendezett kategorikus változó.;b) Ha a két változót párhuzamos koordináta diagramon ábrázolva azt tapasztaljuk, hogy a töröttvonalak párhuzamosak egymással, akkor a lábméret lineárisan függ a ZH összpontszámtól., c) Ha a lábméretet és a ZH összpontszámot hisztogramon ábrázolva azt tapasztaljuk, hogy a két hisztogram pontosan ugyanúgy néz ki, akkor mindenki ugyanannyi pontot ért el, mint amekkora a lábmérete.;a) …megegyezik a második kvartilissel, és az 50%-os kvantilissel., c) …explicite fel van tüntetve a doboz diagramon (boxplot).
5.17.2017 9:30:36;0;;d) …a strukturális helyességet az absztrakt szintaxison végzett statikus ellenőrzésekkel vizsgálhatják, akár szerkesztés közben is.;b) …bemeneti és kimeneti invariánsokat ellenőriz futás közben.;c) …új tesztesetek elkészítésével növelhető;b) …matematikailag bizonyítja a modell helyességét., d) …képes példát mutatni rá, ha egy adott követelmény nem teljesül a modellben.;b) …a tevékenység átbocsátása és az egész folyamat átbocsátása közti arány, c) …kisebb vagy egyenlő az átbocsátóképességnél;a) …min(XP, XQ), ha P és Q egy fork-join blokk két ága., b) … (XP + XQ), amennyiben szabad a döntés P és Q között;c) A képzés foka egy rendezett kategorikus változó.;a) Ha a két változót párhuzamos koordináta diagramon ábrázolva azt tapasztaljuk, hogy a töröttvonalak párhuzamosak egymással, akkor mindenki ugyanannyi pontot ért el, mint amekkora a lábmérete., c) Ha a lábméretet és a ZH összpontszámot hisztogramon ábrázolva azt tapasztaljuk, hogy a két hisztogram pontosan ugyanúgy néz ki, akkor mindenki ugyanannyi pontot ért el, mint amekkora a lábmérete.;a) …megegyezik a második kvartilissel, és az 50%-os kvantilissel., c) …explicite fel van tüntetve a doboz diagramon (boxplot).
5.17.2017 9:36:11;0;a) …jólstrukturált folyamatmodell esetén is előfordulhat., d) …esetén a rendszer a modelltől való eltérés nélkül nem képes elhagyni az állapottér egy bizonyos részét (pl.- ciklus), de azon belül képes lehet állapotváltozásra.;a) …egy modell különböző részeit különböző konkrét szintaxissal is megjeleníthetik., d) …a strukturális helyességet az absztrakt szintaxison végzett statikus ellenőrzésekkel vizsgálhatják, akár szerkesztés közben is.;b) …bemeneti és kimeneti invariánsokat ellenőriz futás közben.;b) …0 és 1 közötti érték, c) …új tesztesetek elkészítésével növelhető;b) …matematikailag bizonyítja a modell helyességét., d) …képes példát mutatni rá, ha egy adott követelmény nem teljesül a modellben.;;a) …min(XP, XQ), ha P és Q egy fork-join blokk két ága., b) … (XP + XQ), amennyiben szabad a döntés P és Q között;c) A képzés foka egy rendezett kategorikus változó.;b) Ha a két változót párhuzamos koordináta diagramon ábrázolva azt tapasztaljuk, hogy a töröttvonalak párhuzamosak egymással, akkor a lábméret lineárisan függ a ZH összpontszámtól.;a) …megegyezik a második kvartilissel, és az 50%-os kvantilissel., c) …explicite fel van tüntetve a doboz diagramon (boxplot).
5.17.2017 9:39:23;0;a) …jólstrukturált folyamatmodell esetén is előfordulhat., d) …esetén a rendszer a modelltől való eltérés nélkül nem képes elhagyni az állapottér egy bizonyos részét (pl.- ciklus), de azon belül képes lehet állapotváltozásra.;a) …egy modell különböző részeit különböző konkrét szintaxissal is megjeleníthetik., d) …a strukturális helyességet az absztrakt szintaxison végzett statikus ellenőrzésekkel vizsgálhatják, akár szerkesztés közben is.;b) …bemeneti és kimeneti invariánsokat ellenőriz futás közben.;b) …0 és 1 közötti érték, c) …új tesztesetek elkészítésével növelhető;b) …matematikailag bizonyítja a modell helyességét., d) …képes példát mutatni rá, ha egy adott követelmény nem teljesül a modellben.;a) …a tevékenység átbocsátása és átbocsátóképessége közti arány, d) …egyensúlyi helyzetben megegyezik az érkezési rátával;a) …min(XP, XQ), ha P és Q egy fork-join blokk két ága., b) … (XP + XQ), amennyiben szabad a döntés P és Q között;c) A képzés foka egy rendezett kategorikus változó.;b) Ha a két változót párhuzamos koordináta diagramon ábrázolva azt tapasztaljuk, hogy a töröttvonalak párhuzamosak egymással, akkor a lábméret lineárisan függ a ZH összpontszámtól.;a) …megegyezik a második kvartilissel, és az 50%-os kvantilissel., c) …explicite fel van tüntetve a doboz diagramon (boxplot).
5.17.2017 9:41:18;0;a) …jólstrukturált folyamatmodell esetén is előfordulhat., d) …esetén a rendszer a modelltől való eltérés nélkül nem képes elhagyni az állapottér egy bizonyos részét (pl.- ciklus), de azon belül képes lehet állapotváltozásra.;a) …egy modell különböző részeit különböző konkrét szintaxissal is megjeleníthetik., d) …a strukturális helyességet az absztrakt szintaxison végzett statikus ellenőrzésekkel vizsgálhatják, akár szerkesztés közben is.;b) …bemeneti és kimeneti invariánsokat ellenőriz futás közben.;b) …0 és 1 közötti érték, c) …új tesztesetek elkészítésével növelhető;b) …matematikailag bizonyítja a modell helyességét., d) …képes példát mutatni rá, ha egy adott követelmény nem teljesül a modellben.;;a) …min(XP, XQ), ha P és Q egy fork-join blokk két ága., b) … (XP + XQ), amennyiben szabad a döntés P és Q között;c) A képzés foka egy rendezett kategorikus változó.;b) Ha a két változót párhuzamos koordináta diagramon ábrázolva azt tapasztaljuk, hogy a töröttvonalak párhuzamosak egymással, akkor a lábméret lineárisan függ a ZH összpontszámtól.;a) …megegyezik a második kvartilissel, és az 50%-os kvantilissel., c) …explicite fel van tüntetve a doboz diagramon (boxplot).
5.17.2017 9:42:38;0;;a) …egy modell különböző részeit különböző konkrét szintaxissal is megjeleníthetik.;;b) …0 és 1 közötti érték;;;;;;
5.17.2017 9:42:43;0;a) …jólstrukturált folyamatmodell esetén is előfordulhat., d) …esetén a rendszer a modelltől való eltérés nélkül nem képes elhagyni az állapottér egy bizonyos részét (pl.- ciklus), de azon belül képes lehet állapotváltozásra.;a) …egy modell különböző részeit különböző konkrét szintaxissal is megjeleníthetik., d) …a strukturális helyességet az absztrakt szintaxison végzett statikus ellenőrzésekkel vizsgálhatják, akár szerkesztés közben is.;b) …bemeneti és kimeneti invariánsokat ellenőriz futás közben.;b) …0 és 1 közötti érték, c) …új tesztesetek elkészítésével növelhető;b) …matematikailag bizonyítja a modell helyességét., d) …képes példát mutatni rá, ha egy adott követelmény nem teljesül a modellben.;b) …a tevékenység átbocsátása és az egész folyamat átbocsátása közti arány;a) …min(XP, XQ), ha P és Q egy fork-join blokk két ága., b) … (XP + XQ), amennyiben szabad a döntés P és Q között;c) A képzés foka egy rendezett kategorikus változó.;b) Ha a két változót párhuzamos koordináta diagramon ábrázolva azt tapasztaljuk, hogy a töröttvonalak párhuzamosak egymással, akkor a lábméret lineárisan függ a ZH összpontszámtól.;a) …megegyezik a második kvartilissel, és az 50%-os kvantilissel., c) …explicite fel van tüntetve a doboz diagramon (boxplot).
5.17.2017 9:42:53;0;a) …jólstrukturált folyamatmodell esetén is előfordulhat., d) …esetén a rendszer a modelltől való eltérés nélkül nem képes elhagyni az állapottér egy bizonyos részét (pl.- ciklus), de azon belül képes lehet állapotváltozásra.;b) …mindig grafikus konkrét szintaxissal dolgoznak, mivel szöveges szintaxisa csak a kódgenerátoroknak és programozási nyelveknek van.;b) …bemeneti és kimeneti invariánsokat ellenőriz futás közben., c) …helyettesíti a tesztelést, hiszen képes megakadályozni a hibás működést futás közben.;c) …új tesztesetek elkészítésével növelhető;b) …matematikailag bizonyítja a modell helyességét., d) …képes példát mutatni rá, ha egy adott követelmény nem teljesül a modellben.;c) …kisebb vagy egyenlő az átbocsátóképességnél;a) …min(XP, XQ), ha P és Q egy fork-join blokk két ága., b) … (XP + XQ), amennyiben szabad a döntés P és Q között;b) A szemszín egy rendezett kategorikus változó., c) A képzés foka egy rendezett kategorikus változó.;b) Ha a két változót párhuzamos koordináta diagramon ábrázolva azt tapasztaljuk, hogy a töröttvonalak párhuzamosak egymással, akkor a lábméret lineárisan függ a ZH összpontszámtól.;a) …megegyezik a második kvartilissel, és az 50%-os kvantilissel., c) …explicite fel van tüntetve a doboz diagramon (boxplot).
5.17.2017 9:43:40;0;;;;;;;;;;
5.17.2017 9:44:50;0;a) …jólstrukturált folyamatmodell esetén is előfordulhat., d) …esetén a rendszer a modelltől való eltérés nélkül nem képes elhagyni az állapottér egy bizonyos részét (pl.- ciklus), de azon belül képes lehet állapotváltozásra.;a) …egy modell különböző részeit különböző konkrét szintaxissal is megjeleníthetik., c) …abban különböznek a kódgenerátoroktól, hogy a modellező eszközök nem dolgoznak konkrét szintaxissal, míg a kódgenerátorok grafikus konkrét szintaxissal dolgoznak.;b) …bemeneti és kimeneti invariánsokat ellenőriz futás közben.;b) …0 és 1 közötti érték, c) …új tesztesetek elkészítésével növelhető;b) …matematikailag bizonyítja a modell helyességét., d) …képes példát mutatni rá, ha egy adott követelmény nem teljesül a modellben.;b) …a tevékenység átbocsátása és az egész folyamat átbocsátása közti arány;a) …min(XP, XQ), ha P és Q egy fork-join blokk két ága., b) … (XP + XQ), amennyiben szabad a döntés P és Q között;b) A szemszín egy rendezett kategorikus változó.;b) Ha a két változót párhuzamos koordináta diagramon ábrázolva azt tapasztaljuk, hogy a töröttvonalak párhuzamosak egymással, akkor a lábméret lineárisan függ a ZH összpontszámtól.;a) …megegyezik a második kvartilissel, és az 50%-os kvantilissel., c) …explicite fel van tüntetve a doboz diagramon (boxplot).
5.17.2017 10:01:29;0;a) …jólstrukturált folyamatmodell esetén is előfordulhat., d) …esetén a rendszer a modelltől való eltérés nélkül nem képes elhagyni az állapottér egy bizonyos részét (pl.- ciklus), de azon belül képes lehet állapotváltozásra.;a) …egy modell különböző részeit különböző konkrét szintaxissal is megjeleníthetik., d) …a strukturális helyességet az absztrakt szintaxison végzett statikus ellenőrzésekkel vizsgálhatják, akár szerkesztés közben is.;b) …bemeneti és kimeneti invariánsokat ellenőriz futás közben.;b) …0 és 1 közötti érték, c) …új tesztesetek elkészítésével növelhető;b) …matematikailag bizonyítja a modell helyességét., d) …képes példát mutatni rá, ha egy adott követelmény nem teljesül a modellben.;b) …a tevékenység átbocsátása és az egész folyamat átbocsátása közti arány;a) …min(XP, XQ), ha P és Q egy fork-join blokk két ága., b) … (XP + XQ), amennyiben szabad a döntés P és Q között;c) A képzés foka egy rendezett kategorikus változó.;;
5.17.2017 10:01:39;0;a) …jólstrukturált folyamatmodell esetén is előfordulhat., d) …esetén a rendszer a modelltől való eltérés nélkül nem képes elhagyni az állapottér egy bizonyos részét (pl.- ciklus), de azon belül képes lehet állapotváltozásra.;a) …egy modell különböző részeit különböző konkrét szintaxissal is megjeleníthetik., d) …a strukturális helyességet az absztrakt szintaxison végzett statikus ellenőrzésekkel vizsgálhatják, akár szerkesztés közben is.;b) …bemeneti és kimeneti invariánsokat ellenőriz futás közben.;b) …0 és 1 közötti érték, c) …új tesztesetek elkészítésével növelhető;b) …matematikailag bizonyítja a modell helyességét., d) …képes példát mutatni rá, ha egy adott követelmény nem teljesül a modellben.;b) …a tevékenység átbocsátása és az egész folyamat átbocsátása közti arány;a) …min(XP, XQ), ha P és Q egy fork-join blokk két ága., b) … (XP + XQ), amennyiben szabad a döntés P és Q között;c) A képzés foka egy rendezett kategorikus változó.;b) Ha a két változót párhuzamos koordináta diagramon ábrázolva azt tapasztaljuk, hogy a töröttvonalak párhuzamosak egymással, akkor a lábméret lineárisan függ a ZH összpontszámtól.;a) …megegyezik a második kvartilissel, és az 50%-os kvantilissel., c) …explicite fel van tüntetve a doboz diagramon (boxplot).
