Időbélyeg;Pontszám;"1.	A modell és a modellezett rendszer viszonya:";"2.	Ha egy rendszernek az M1 modell jó modellje, de az M2 modell nem érvényes rá, akkor…";"3.	A fa tulajdonságú gráf…";"4.	Egy egyszerű állapotgép biztosan determinisztikus, ha…";"5.	Ha M1 állapotgép absztrahálja M2 állapotgépet, akkor…";"6.	Az S1 S2 és S3 állapotterek direkt szorzataként előálló S állapottérnek minden pillanatban…";"7.	Ha az egyik állapotrégió 5 állapotot és 15 átmenetet, a másik régió 4 állapotot és 8 átmenetet tartalmaz, akkor az aszinkron szorzatukként számolt állapotgép további finomítás híján…";"1.	Egy folyamat biztosan jól strukturált, ha…";"9.	Őrfeltételt írhatunk…"
5.17.2017 8:23:46;0;c) A modell elhagyhatja a modellezett rendszer bizonyos részeit, komponenseit.;;;;;;;;
5.17.2017 8:29:01;0;a) A modell egyszerűsítheti, összemoshatja a modellezett rendszer bizonyos részleteit., b) A modell mindig egy hipotetikus (pl. fejlesztés alatt álló) rendszert közelít, sosem a valóságot., c) A modell elhagyhatja a modellezett rendszer bizonyos részeit, komponenseit., d) A modell a modellezett rendszer finomítása.;a) …M1 lehet M2 finomítása., c) …M1 lehet M2 absztrakciója.;d) …típusgráfja nem tartalmazhat hurokélet.;a) …teljesen specifikált., c) …egy állapotátmenete van., d) … egy állapota van (állapotmentes).;…M2 több információt tartalmaz, mint M1., d) …M2 biztosan több állapotból áll, mint M1.;b) …legfeljebb 3 eleme áll fenn., a) …legalább 1 eleme fennáll.;c) …107 átmenetet tartalmaz.;b) … elemi tevékenységek egyszerű szekvenciája.;a) …állapotgép átmeneteire., a) …folyamatmodell Decision csomópontjából kilépő vezérlési élekre.
5.17.2017 8:47:18;0;a) A modell egyszerűsítheti, összemoshatja a modellezett rendszer bizonyos részleteit., b) A modell mindig egy hipotetikus (pl. fejlesztés alatt álló) rendszert közelít, sosem a valóságot., c) A modell elhagyhatja a modellezett rendszer bizonyos részeit, komponenseit.;;b) …reprezentálhat egy tartalmazási struktúrát., c) …élcímkére szűrve is egy vagy több fa marad.;a) …teljesen specifikált., b) …egy kezdőállapota van., c) …egy állapotátmenete van., d) … egy állapota van (állapotmentes).;…M2 több információt tartalmaz, mint M1., d) …M2 biztosan több állapotból áll, mint M1.;a) … legalább 3 eleme fennáll., a) …legalább 1 eleme fennáll.;c) …107 átmenetet tartalmaz.;b) … elemi tevékenységek egyszerű szekvenciája.;a) …típusgráf éleire., a) …állapotgép átmeneteire., a) …folyamatmodell Decision csomópontjából kilépő vezérlési élekre.
5.17.2017 8:53:11;0;b) A modell mindig egy hipotetikus (pl. fejlesztés alatt álló) rendszert közelít, sosem a valóságot., c) A modell elhagyhatja a modellezett rendszer bizonyos részeit, komponenseit.;c) …M1 lehet M2 absztrakciója.;b) …reprezentálhat egy tartalmazási struktúrát., c) …élcímkére szűrve is egy vagy több fa marad.;d) … egy állapota van (állapotmentes).;…M2 több információt tartalmaz, mint M1., d) …M2 biztosan több állapotból áll, mint M1.;;b) …100 átmenetet tartalmaz.;b) … elemi tevékenységek egyszerű szekvenciája.;a) …folyamatmodell Decision csomópontjából kilépő vezérlési élekre.
5.17.2017 9:17:18;0;c) A modell elhagyhatja a modellezett rendszer bizonyos részeit, komponenseit.;;b) …reprezentálhat egy tartalmazási struktúrát., d) …típusgráfja nem tartalmazhat hurokélet.;c) …egy állapotátmenete van., d) … egy állapota van (állapotmentes).;…M2 több információt tartalmaz, mint M1.;;d) … 120 átmenetet tartalmaz.;b) … elemi tevékenységek egyszerű szekvenciája.;a) …állapotgép átmeneteire., a) …folyamatmodell Decision csomópontjából kilépő vezérlési élekre.
5.17.2017 9:26:27;0;;c) …M1 lehet M2 absztrakciója., d) …M1 mindenképpen M2 absztrakciója.;;a) …teljesen specifikált., d) … egy állapota van (állapotmentes).;…M2 több információt tartalmaz, mint M1.;;;a) … determinisztikus.;a) …állapotgép átmeneteire., a) …folyamatmodell Decision csomópontjából kilépő vezérlési élekre.
5.17.2017 9:27:36;0;a) A modell egyszerűsítheti, összemoshatja a modellezett rendszer bizonyos részleteit., c) A modell elhagyhatja a modellezett rendszer bizonyos részeit, komponenseit., d) A modell a modellezett rendszer finomítása.;c) …M1 lehet M2 absztrakciója.;b) …reprezentálhat egy tartalmazási struktúrát., d) …típusgráfja nem tartalmazhat hurokélet.;c) …egy állapotátmenete van., d) … egy állapota van (állapotmentes).;a) …M1 több információt tartalmaz, mint M2., c) …M1 biztosan több állapotból áll, mint M2.;a) …legalább 1 eleme fennáll.;a) …23 átmenetet tartalmaz.;a) … determinisztikus., b) … elemi tevékenységek egyszerű szekvenciája.;a) …állapotgép átmeneteire., a) …folyamatmodell Decision csomópontjából kilépő vezérlési élekre.
5.17.2017 9:28:35;0;;;;;;;;;a) …típusgráf éleire., a) …állapotgép átmeneteire.
5.17.2017 9:33:08;0;a) A modell egyszerűsítheti, összemoshatja a modellezett rendszer bizonyos részleteit., b) A modell mindig egy hipotetikus (pl. fejlesztés alatt álló) rendszert közelít, sosem a valóságot., c) A modell elhagyhatja a modellezett rendszer bizonyos részeit, komponenseit., d) A modell a modellezett rendszer finomítása.;;;;;;;;
5.17.2017 9:39:14;0;a) A modell egyszerűsítheti, összemoshatja a modellezett rendszer bizonyos részleteit.;c) …M1 lehet M2 absztrakciója.;b) …reprezentálhat egy tartalmazási struktúrát., c) …élcímkére szűrve is egy vagy több fa marad.;b) …egy kezdőállapota van.;…M2 több információt tartalmaz, mint M1., d) …M2 biztosan több állapotból áll, mint M1.;a) …legalább 1 eleme fennáll., d) … legfeljebb 1 eleme áll fenn.;b) …100 átmenetet tartalmaz.;;a) …típusgráf éleire., a) …állapotgép átmeneteire., a) …folyamatmodell Decision csomópontjából kilépő vezérlési élekre.
5.17.2017 9:40:10;0;a) A modell egyszerűsítheti, összemoshatja a modellezett rendszer bizonyos részleteit.;;;;;;;;
5.17.2017 9:40:18;0;;;;;;;;;d) …adatfolyamháló csatornáira.
5.17.2017 9:43:35;0;a) A modell egyszerűsítheti, összemoshatja a modellezett rendszer bizonyos részleteit., c) A modell elhagyhatja a modellezett rendszer bizonyos részeit, komponenseit.;c) …M1 lehet M2 absztrakciója.;b) …reprezentálhat egy tartalmazási struktúrát., c) …élcímkére szűrve is egy vagy több fa marad.;c) …egy állapotátmenete van.;…M2 több információt tartalmaz, mint M1.;a) …legalább 1 eleme fennáll., d) … legfeljebb 1 eleme áll fenn.;b) …100 átmenetet tartalmaz.;b) … elemi tevékenységek egyszerű szekvenciája.;a) …állapotgép átmeneteire., a) …folyamatmodell Decision csomópontjából kilépő vezérlési élekre.
5.17.2017 9:48:06;0;a) A modell egyszerűsítheti, összemoshatja a modellezett rendszer bizonyos részleteit., c) A modell elhagyhatja a modellezett rendszer bizonyos részeit, komponenseit.;c) …M1 lehet M2 absztrakciója.;;;…M2 több információt tartalmaz, mint M1.;;;;
5.17.2017 9:49:26;0;a) A modell egyszerűsítheti, összemoshatja a modellezett rendszer bizonyos részleteit., c) A modell elhagyhatja a modellezett rendszer bizonyos részeit, komponenseit.;c) …M1 lehet M2 absztrakciója.;b) …reprezentálhat egy tartalmazási struktúrát., d) …típusgráfja nem tartalmazhat hurokélet.;b) …egy kezdőállapota van.;…M2 több információt tartalmaz, mint M1.;b) …legfeljebb 3 eleme áll fenn., a) …legalább 1 eleme fennáll.;;b) … elemi tevékenységek egyszerű szekvenciája.;a) …állapotgép átmeneteire., a) …folyamatmodell Decision csomópontjából kilépő vezérlési élekre.
5.17.2017 9:56:44;0;a) A modell egyszerűsítheti, összemoshatja a modellezett rendszer bizonyos részleteit., c) A modell elhagyhatja a modellezett rendszer bizonyos részeit, komponenseit., d) A modell a modellezett rendszer finomítása.;a) …M1 lehet M2 finomítása.;b) …reprezentálhat egy tartalmazási struktúrát.;a) …teljesen specifikált., b) …egy kezdőállapota van.;…M2 több információt tartalmaz, mint M1., d) …M2 biztosan több állapotból áll, mint M1.;;b) …100 átmenetet tartalmaz.;a) … determinisztikus., b) … elemi tevékenységek egyszerű szekvenciája.;a) …típusgráf éleire., a) …állapotgép átmeneteire., a) …folyamatmodell Decision csomópontjából kilépő vezérlési élekre.
5.17.2017 9:59:28;0;c) A modell elhagyhatja a modellezett rendszer bizonyos részeit, komponenseit.;c) …M1 lehet M2 absztrakciója.;b) …reprezentálhat egy tartalmazási struktúrát., c) …élcímkére szűrve is egy vagy több fa marad.;c) …egy állapotátmenete van.;…M2 több információt tartalmaz, mint M1.;a) …legalább 1 eleme fennáll., d) … legfeljebb 1 eleme áll fenn.;b) …100 átmenetet tartalmaz.;b) … elemi tevékenységek egyszerű szekvenciája.;a) …állapotgép átmeneteire., a) …folyamatmodell Decision csomópontjából kilépő vezérlési élekre.
5.17.2017 10:04:35;0;a) A modell egyszerűsítheti, összemoshatja a modellezett rendszer bizonyos részleteit., c) A modell elhagyhatja a modellezett rendszer bizonyos részeit, komponenseit.;c) …M1 lehet M2 absztrakciója.;;c) …egy állapotátmenete van.;…M2 több információt tartalmaz, mint M1., d) …M2 biztosan több állapotból áll, mint M1.;a) …legalább 1 eleme fennáll., d) … legfeljebb 1 eleme áll fenn.;b) …100 átmenetet tartalmaz.;b) … elemi tevékenységek egyszerű szekvenciája.;a) …típusgráf éleire., a) …állapotgép átmeneteire., a) …folyamatmodell Decision csomópontjából kilépő vezérlési élekre.
5.17.2017 10:17:20;0;c) A modell elhagyhatja a modellezett rendszer bizonyos részeit, komponenseit., d) A modell a modellezett rendszer finomítása.;c) …M1 lehet M2 absztrakciója.;b) …reprezentálhat egy tartalmazási struktúrát., c) …élcímkére szűrve is egy vagy több fa marad.;a) …teljesen specifikált., b) …egy kezdőállapota van.;…M2 több információt tartalmaz, mint M1., c) …M1 biztosan több állapotból áll, mint M2.;a) …legalább 1 eleme fennáll.;c) …107 átmenetet tartalmaz.;a) … determinisztikus., b) … elemi tevékenységek egyszerű szekvenciája.;a) …állapotgép átmeneteire., a) …folyamatmodell Decision csomópontjából kilépő vezérlési élekre.
5.17.2017 10:19:29;0;a) A modell egyszerűsítheti, összemoshatja a modellezett rendszer bizonyos részleteit., c) A modell elhagyhatja a modellezett rendszer bizonyos részeit, komponenseit.;c) …M1 lehet M2 absztrakciója.;b) …reprezentálhat egy tartalmazási struktúrát., d) …típusgráfja nem tartalmazhat hurokélet.;;…M2 több információt tartalmaz, mint M1.;;;;
5.17.2017 10:25:40;0;a) A modell egyszerűsítheti, összemoshatja a modellezett rendszer bizonyos részleteit., b) A modell mindig egy hipotetikus (pl. fejlesztés alatt álló) rendszert közelít, sosem a valóságot., c) A modell elhagyhatja a modellezett rendszer bizonyos részeit, komponenseit.;c) …M1 lehet M2 absztrakciója.;b) …reprezentálhat egy tartalmazási struktúrát., c) …élcímkére szűrve is egy vagy több fa marad.;c) …egy állapotátmenete van., d) … egy állapota van (állapotmentes).;…M2 több információt tartalmaz, mint M1.;a) …legalább 1 eleme fennáll., d) … legfeljebb 1 eleme áll fenn.;b) …100 átmenetet tartalmaz.;b) … elemi tevékenységek egyszerű szekvenciája.;a) …állapotgép átmeneteire., a) …folyamatmodell Decision csomópontjából kilépő vezérlési élekre., d) …adatfolyamháló csatornáira.
5.17.2017 10:26:14;0;a) A modell egyszerűsítheti, összemoshatja a modellezett rendszer bizonyos részleteit., c) A modell elhagyhatja a modellezett rendszer bizonyos részeit, komponenseit.;a) …M1 lehet M2 finomítása.;;;;;;;
5.17.2017 10:27:58;0;a) A modell egyszerűsítheti, összemoshatja a modellezett rendszer bizonyos részleteit., b) A modell mindig egy hipotetikus (pl. fejlesztés alatt álló) rendszert közelít, sosem a valóságot.;a) …M1 lehet M2 finomítása., c) …M1 lehet M2 absztrakciója.;b) …reprezentálhat egy tartalmazási struktúrát., d) …típusgráfja nem tartalmazhat hurokélet.;a) …teljesen specifikált., c) …egy állapotátmenete van., d) … egy állapota van (állapotmentes).;…M2 több információt tartalmaz, mint M1.;a) …legalább 1 eleme fennáll., d) … legfeljebb 1 eleme áll fenn.;b) …100 átmenetet tartalmaz.;a) … determinisztikus.;a) …folyamatmodell Decision csomópontjából kilépő vezérlési élekre.
5.17.2017 10:29:19;0;a) A modell egyszerűsítheti, összemoshatja a modellezett rendszer bizonyos részleteit., c) A modell elhagyhatja a modellezett rendszer bizonyos részeit, komponenseit.;c) …M1 lehet M2 absztrakciója.;d) …típusgráfja nem tartalmazhat hurokélet.;b) …egy kezdőállapota van.;…M2 több információt tartalmaz, mint M1., d) …M2 biztosan több állapotból áll, mint M1.;b) …legfeljebb 3 eleme áll fenn., a) …legalább 1 eleme fennáll.;d) … 120 átmenetet tartalmaz.;a) … determinisztikus., c) … nem tartalmaz ciklust.;a) …állapotgép átmeneteire.
5.17.2017 10:32:47;0;a) A modell egyszerűsítheti, összemoshatja a modellezett rendszer bizonyos részleteit., c) A modell elhagyhatja a modellezett rendszer bizonyos részeit, komponenseit.;;b) …reprezentálhat egy tartalmazási struktúrát., c) …élcímkére szűrve is egy vagy több fa marad.;b) …egy kezdőállapota van.;…M2 több információt tartalmaz, mint M1.;b) …legfeljebb 3 eleme áll fenn.;b) …100 átmenetet tartalmaz.;a) … determinisztikus., b) … elemi tevékenységek egyszerű szekvenciája.;a) …állapotgép átmeneteire., a) …folyamatmodell Decision csomópontjából kilépő vezérlési élekre.
5.17.2017 10:33:22;0;a) A modell egyszerűsítheti, összemoshatja a modellezett rendszer bizonyos részleteit., c) A modell elhagyhatja a modellezett rendszer bizonyos részeit, komponenseit.;c) …M1 lehet M2 absztrakciója.;b) …reprezentálhat egy tartalmazási struktúrát., c) …élcímkére szűrve is egy vagy több fa marad.;a) …teljesen specifikált., c) …egy állapotátmenete van.;…M2 több információt tartalmaz, mint M1.;a) …legalább 1 eleme fennáll., d) … legfeljebb 1 eleme áll fenn.;b) …100 átmenetet tartalmaz.;b) … elemi tevékenységek egyszerű szekvenciája.;a) …állapotgép átmeneteire., a) …folyamatmodell Decision csomópontjából kilépő vezérlési élekre.
5.17.2017 10:33:38;0;a) A modell egyszerűsítheti, összemoshatja a modellezett rendszer bizonyos részleteit., c) A modell elhagyhatja a modellezett rendszer bizonyos részeit, komponenseit.;c) …M1 lehet M2 absztrakciója.;d) …típusgráfja nem tartalmazhat hurokélet.;b) …egy kezdőállapota van.;…M2 több információt tartalmaz, mint M1., d) …M2 biztosan több állapotból áll, mint M1.;;d) … 120 átmenetet tartalmaz.;a) … determinisztikus., c) … nem tartalmaz ciklust.;a) …típusgráf éleire., a) …állapotgép átmeneteire., a) …folyamatmodell Decision csomópontjából kilépő vezérlési élekre.
5.17.2017 10:34:07;0;a) A modell egyszerűsítheti, összemoshatja a modellezett rendszer bizonyos részleteit.;;;;a) …M1 több információt tartalmaz, mint M2., c) …M1 biztosan több állapotból áll, mint M2.;a) … legalább 3 eleme fennáll.;b) …100 átmenetet tartalmaz.;a) … determinisztikus., b) … elemi tevékenységek egyszerű szekvenciája.;a) …állapotgép átmeneteire., a) …folyamatmodell Decision csomópontjából kilépő vezérlési élekre.
5.17.2017 10:34:37;0;a) A modell egyszerűsítheti, összemoshatja a modellezett rendszer bizonyos részleteit., c) A modell elhagyhatja a modellezett rendszer bizonyos részeit, komponenseit.;c) …M1 lehet M2 absztrakciója.;d) …típusgráfja nem tartalmazhat hurokélet.;a) …teljesen specifikált., c) …egy állapotátmenete van.;…M2 több információt tartalmaz, mint M1., d) …M2 biztosan több állapotból áll, mint M1.;a) … legalább 3 eleme fennáll., a) …legalább 1 eleme fennáll.;c) …107 átmenetet tartalmaz.;a) … determinisztikus., b) … elemi tevékenységek egyszerű szekvenciája.;a) …állapotgép átmeneteire., d) …adatfolyamháló csatornáira.
5.17.2017 10:35:13;0;a) A modell egyszerűsítheti, összemoshatja a modellezett rendszer bizonyos részleteit., c) A modell elhagyhatja a modellezett rendszer bizonyos részeit, komponenseit.;c) …M1 lehet M2 absztrakciója., d) …M1 mindenképpen M2 absztrakciója.;c) …élcímkére szűrve is egy vagy több fa marad.;d) … egy állapota van (állapotmentes).;…M2 több információt tartalmaz, mint M1.;a) …legalább 1 eleme fennáll., d) … legfeljebb 1 eleme áll fenn.;;b) … elemi tevékenységek egyszerű szekvenciája.;a) …állapotgép átmeneteire., a) …folyamatmodell Decision csomópontjából kilépő vezérlési élekre.
5.17.2017 10:41:26;0;;;;;;;;;
5.17.2017 10:44:45;0;b) A modell mindig egy hipotetikus (pl. fejlesztés alatt álló) rendszert közelít, sosem a valóságot., c) A modell elhagyhatja a modellezett rendszer bizonyos részeit, komponenseit.;a) …M1 lehet M2 finomítása.;b) …reprezentálhat egy tartalmazási struktúrát.;a) …teljesen specifikált., d) … egy állapota van (állapotmentes).;…M2 több információt tartalmaz, mint M1., d) …M2 biztosan több állapotból áll, mint M1.;b) …legfeljebb 3 eleme áll fenn., a) …legalább 1 eleme fennáll.;b) …100 átmenetet tartalmaz.;a) … determinisztikus., b) … elemi tevékenységek egyszerű szekvenciája.;a) …típusgráf éleire., a) …állapotgép átmeneteire.
5.17.2017 10:47:02;0;;;;;;;;;
5.17.2017 10:48:11;0;a) A modell egyszerűsítheti, összemoshatja a modellezett rendszer bizonyos részleteit., c) A modell elhagyhatja a modellezett rendszer bizonyos részeit, komponenseit.;c) …M1 lehet M2 absztrakciója.;b) …reprezentálhat egy tartalmazási struktúrát., c) …élcímkére szűrve is egy vagy több fa marad.;c) …egy állapotátmenete van.;…M2 több információt tartalmaz, mint M1.;a) … legalább 3 eleme fennáll., d) … legfeljebb 1 eleme áll fenn.;b) …100 átmenetet tartalmaz.;b) … elemi tevékenységek egyszerű szekvenciája.;a) …állapotgép átmeneteire., a) …folyamatmodell Decision csomópontjából kilépő vezérlési élekre.
5.17.2017 10:49:48;0;a) A modell egyszerűsítheti, összemoshatja a modellezett rendszer bizonyos részleteit., b) A modell mindig egy hipotetikus (pl. fejlesztés alatt álló) rendszert közelít, sosem a valóságot.;a) …M1 lehet M2 finomítása.;b) …reprezentálhat egy tartalmazási struktúrát., c) …élcímkére szűrve is egy vagy több fa marad.;a) …teljesen specifikált., c) …egy állapotátmenete van.;…M2 több információt tartalmaz, mint M1.;b) …legfeljebb 3 eleme áll fenn.;b) …100 átmenetet tartalmaz.;a) … determinisztikus., b) … elemi tevékenységek egyszerű szekvenciája.;a) …állapotgép átmeneteire.
5.17.2017 10:51:58;0;a) A modell egyszerűsítheti, összemoshatja a modellezett rendszer bizonyos részleteit., c) A modell elhagyhatja a modellezett rendszer bizonyos részeit, komponenseit.;c) …M1 lehet M2 absztrakciója.;b) …reprezentálhat egy tartalmazási struktúrát., c) …élcímkére szűrve is egy vagy több fa marad.;c) …egy állapotátmenete van.;…M2 több információt tartalmaz, mint M1.;a) …legalább 1 eleme fennáll., d) … legfeljebb 1 eleme áll fenn.;b) …100 átmenetet tartalmaz.;b) … elemi tevékenységek egyszerű szekvenciája.;a) …állapotgép átmeneteire., a) …folyamatmodell Decision csomópontjából kilépő vezérlési élekre.
5.17.2017 11:02:04;0;c) A modell elhagyhatja a modellezett rendszer bizonyos részeit, komponenseit., d) A modell a modellezett rendszer finomítása.;c) …M1 lehet M2 absztrakciója.;b) …reprezentálhat egy tartalmazási struktúrát., c) …élcímkére szűrve is egy vagy több fa marad.;b) …egy kezdőállapota van.;…M2 több információt tartalmaz, mint M1., d) …M2 biztosan több állapotból áll, mint M1.;a) …legalább 1 eleme fennáll., d) … legfeljebb 1 eleme áll fenn.;b) …100 átmenetet tartalmaz.;a) … determinisztikus., b) … elemi tevékenységek egyszerű szekvenciája.;a) …típusgráf éleire., a) …állapotgép átmeneteire.
5.17.2017 11:02:32;0;b) A modell mindig egy hipotetikus (pl. fejlesztés alatt álló) rendszert közelít, sosem a valóságot., c) A modell elhagyhatja a modellezett rendszer bizonyos részeit, komponenseit.;c) …M1 lehet M2 absztrakciója.;b) …reprezentálhat egy tartalmazási struktúrát., c) …élcímkére szűrve is egy vagy több fa marad.;c) …egy állapotátmenete van., d) … egy állapota van (állapotmentes).;…M2 több információt tartalmaz, mint M1., d) …M2 biztosan több állapotból áll, mint M1.;a) …legalább 1 eleme fennáll.;;b) … elemi tevékenységek egyszerű szekvenciája.;a) …állapotgép átmeneteire., a) …folyamatmodell Decision csomópontjából kilépő vezérlési élekre.
5.17.2017 11:04:28;0;b) A modell mindig egy hipotetikus (pl. fejlesztés alatt álló) rendszert közelít, sosem a valóságot., c) A modell elhagyhatja a modellezett rendszer bizonyos részeit, komponenseit.;;c) …élcímkére szűrve is egy vagy több fa marad., d) …típusgráfja nem tartalmazhat hurokélet.;a) …teljesen specifikált.;…M2 több információt tartalmaz, mint M1., d) …M2 biztosan több állapotból áll, mint M1.;b) …legfeljebb 3 eleme áll fenn., a) …legalább 1 eleme fennáll.;b) …100 átmenetet tartalmaz.;a) … nem tartalmaz fork-join párt.;a) …típusgráf éleire., a) …állapotgép átmeneteire., a) …folyamatmodell Decision csomópontjából kilépő vezérlési élekre.
5.17.2017 11:09:39;0;a) A modell egyszerűsítheti, összemoshatja a modellezett rendszer bizonyos részleteit., c) A modell elhagyhatja a modellezett rendszer bizonyos részeit, komponenseit.;c) …M1 lehet M2 absztrakciója.;b) …reprezentálhat egy tartalmazási struktúrát., d) …típusgráfja nem tartalmazhat hurokélet.;c) …egy állapotátmenete van.;…M2 több információt tartalmaz, mint M1.;a) …legalább 1 eleme fennáll., d) … legfeljebb 1 eleme áll fenn.;b) …100 átmenetet tartalmaz.;b) … elemi tevékenységek egyszerű szekvenciája., a) … nem tartalmaz fork-join párt.;a) …állapotgép átmeneteire., a) …folyamatmodell Decision csomópontjából kilépő vezérlési élekre.
5.17.2017 11:12:18;0;a) A modell egyszerűsítheti, összemoshatja a modellezett rendszer bizonyos részleteit., b) A modell mindig egy hipotetikus (pl. fejlesztés alatt álló) rendszert közelít, sosem a valóságot., c) A modell elhagyhatja a modellezett rendszer bizonyos részeit, komponenseit.;a) …M1 lehet M2 finomítása.;b) …reprezentálhat egy tartalmazási struktúrát., d) …típusgráfja nem tartalmazhat hurokélet.;a) …teljesen specifikált., d) … egy állapota van (állapotmentes).;…M2 több információt tartalmaz, mint M1.;;b) …100 átmenetet tartalmaz.;b) … elemi tevékenységek egyszerű szekvenciája.;a) …állapotgép átmeneteire., a) …folyamatmodell Decision csomópontjából kilépő vezérlési élekre.
5.17.2017 11:14:21;0;a) A modell egyszerűsítheti, összemoshatja a modellezett rendszer bizonyos részleteit., c) A modell elhagyhatja a modellezett rendszer bizonyos részeit, komponenseit., d) A modell a modellezett rendszer finomítása.;a) …M1 lehet M2 finomítása.;b) …reprezentálhat egy tartalmazási struktúrát., c) …élcímkére szűrve is egy vagy több fa marad.;c) …egy állapotátmenete van.;a) …M1 több információt tartalmaz, mint M2.;a) … legalább 3 eleme fennáll.;d) … 120 átmenetet tartalmaz.;b) … elemi tevékenységek egyszerű szekvenciája.;a) …állapotgép átmeneteire., a) …folyamatmodell Decision csomópontjából kilépő vezérlési élekre.
5.17.2017 11:22:24;0;a) A modell egyszerűsítheti, összemoshatja a modellezett rendszer bizonyos részleteit., c) A modell elhagyhatja a modellezett rendszer bizonyos részeit, komponenseit.;c) …M1 lehet M2 absztrakciója.;b) …reprezentálhat egy tartalmazási struktúrát., c) …élcímkére szűrve is egy vagy több fa marad.;d) … egy állapota van (állapotmentes).;…M2 több információt tartalmaz, mint M1.;d) … legfeljebb 1 eleme áll fenn.;b) …100 átmenetet tartalmaz.;a) … determinisztikus.;a) …állapotgép átmeneteire., a) …folyamatmodell Decision csomópontjából kilépő vezérlési élekre.
