Időbélyeg;Pontszám;A modell és a valóság között különbség, hogy;"1.	Ha M1 állapotmodell finomítja M2 állapotmodellt, akkor";"3.	Legyen S egy állapottér, és S' egy tetszőleges állapothalmaz. Ekkor…";"4.	Egy állapotgép biztosan nemdeterminisztikus, ha";"1.	Ha az egyik állapotrégió 5 állapotot és 10 átmenetet, a másik régió 6 állapotot és 16 átmenetet tartalmaz, akkor az aszinkron szorzatukként számolt állapotgép további finomítás híján…";"1.	Mi lehet a strukturális modellezés célja? ";"7.	A fa tulajdonságú gráf…";"8.	Mely állítások igazak az alábbiak közül?";"9.	Egy folyamat biztosan jólstrukturált, ha…"
5.17.2017 13:29:56;0;a) a modell vonatkozhat még nem létező (pl. tervezett) rendszerre is., a) a modellalkotás célja, hogy a modellen elsősorban az adott problémával kapcsolatos, releváns információk jelenjenek meg., a) egy modell elhanyagolhatja a világ bizonyos tulajdonságait.;b) M1 több információt tartalmaz, mint M2., d) M2 absztrahálja M1 modellt.;a) …S \ S' biztosan kizárólagos;b) egy állapotból ugyanarra az eseményre több átmenet definiált, eltérő kimenetet adva., d) egy állapotot elhagy egy eseménnyel kiváltott és egy spontán átmenet is, eltérő kimenetet adva.;;d) A rendszerben található kapcsolatok és összeköttetések meghatározása.;…reprezentálhat egy tartalmazási struktúrát., a) …élcímkére szűrve is egy vagy több fa marad.;b) A típusgráfban minden csomóponttípushoz egy típuscsomópont, minden éltípushoz egy típusél tartozik., c) Az objektum-orientált programozásban használt osztályoknak megfeleltethető a típusgráf egy-egy csomópontja.;b) … elemi tevékenységek egyszerű szekvenciája.
5.17.2017 13:32:47;0;a) a modell vonatkozhat még nem létező (pl. tervezett) rendszerre is., a) a modellalkotás célja, hogy a modellen elsősorban az adott problémával kapcsolatos, releváns információk jelenjenek meg., a) egy modell elhanyagolhatja a világ bizonyos tulajdonságait.;a) M2 több információt tartalmaz, mint M1., d) M2 absztrahálja M1 modellt.;a) …S \ S' biztosan kizárólagos;b) egy állapotból ugyanarra az eseményre több átmenet definiált, eltérő kimenetet adva., c) egy állapotból nem minden lehetséges eseményre definiált az átmenet.;d) … 8-cal osztható számú átmenetet tartalmaz.;b) A rendszer kisebb részekre bontása., d) A rendszerben található kapcsolatok és összeköttetések meghatározása.;…reprezentálhat egy tartalmazási struktúrát., a) …élcímkére szűrve is egy vagy több fa marad.;b) A típusgráfban minden csomóponttípushoz egy típuscsomópont, minden éltípushoz egy típusél tartozik., c) Az objektum-orientált programozásban használt osztályoknak megfeleltethető a típusgráf egy-egy csomópontja.;b) … elemi tevékenységek egyszerű szekvenciája.
5.17.2017 13:35:26;0;a) a modell vonatkozhat még nem létező (pl. tervezett) rendszerre is., a) a modellalkotás célja, hogy a modellen elsősorban az adott problémával kapcsolatos, releváns információk jelenjenek meg., a) egy modell elhanyagolhatja a világ bizonyos tulajdonságait.;b) M1 több információt tartalmaz, mint M2., d) M2 absztrahálja M1 modellt.;;b) egy állapotból ugyanarra az eseményre több átmenet definiált, eltérő kimenetet adva.;;b) A rendszer kisebb részekre bontása., d) A rendszerben található kapcsolatok és összeköttetések meghatározása.;…reprezentálhat egy tartalmazási struktúrát., a) …élcímkére szűrve is egy vagy több fa marad.;b) A típusgráfban minden csomóponttípushoz egy típuscsomópont, minden éltípushoz egy típusél tartozik., c) Az objektum-orientált programozásban használt osztályoknak megfeleltethető a típusgráf egy-egy csomópontja.;b) … elemi tevékenységek egyszerű szekvenciája., d) … nem tartalmaz fork-join párt.
5.17.2017 13:42:37;0;a) a modell vonatkozhat még nem létező (pl. tervezett) rendszerre is., a) a modellalkotás célja, hogy a modellen elsősorban az adott problémával kapcsolatos, releváns információk jelenjenek meg., a) egy modell elhanyagolhatja a világ bizonyos tulajdonságait.;b) M1 több információt tartalmaz, mint M2., d) M2 absztrahálja M1 modellt.;a) …S \ S' biztosan kizárólagos;b) egy állapotból ugyanarra az eseményre több átmenet definiált, eltérő kimenetet adva.;;b) A rendszer kisebb részekre bontása., d) A rendszerben található kapcsolatok és összeköttetések meghatározása.;…reprezentálhat egy tartalmazási struktúrát., d) …típusgráfja nem tartalmazhat hurokélet.;b) A típusgráfban minden csomóponttípushoz egy típuscsomópont, minden éltípushoz egy típusél tartozik., a) Az objektum-orientált programozásban használt objektumoknak megfeleltethető a típusgráf egy-egy csomópontja.;
5.17.2017 13:54:03;0;a) a modell vonatkozhat még nem létező (pl. tervezett) rendszerre is., a) a modellalkotás célja, hogy a modellen elsősorban az adott problémával kapcsolatos, releváns információk jelenjenek meg., a) egy modell elhanyagolhatja a világ bizonyos tulajdonságait.;b) M1 több információt tartalmaz, mint M2., d) M2 absztrahálja M1 modellt.;a) …S \ S' biztosan kizárólagos;b) egy állapotból ugyanarra az eseményre több átmenet definiált, eltérő kimenetet adva., c) egy állapotból nem minden lehetséges eseményre definiált az átmenet., d) egy állapotot elhagy egy eseménnyel kiváltott és egy spontán átmenet is, eltérő kimenetet adva.;a) …mindenképpen determinisztikus lesz., d) … 8-cal osztható számú átmenetet tartalmaz.;b) A rendszer kisebb részekre bontása., d) A rendszerben található kapcsolatok és összeköttetések meghatározása.;…reprezentálhat egy tartalmazási struktúrát., a) …élcímkére szűrve is egy vagy több fa marad., d) …típusgráfja nem tartalmazhat hurokélet.;b) A típusgráfban minden csomóponttípushoz egy típuscsomópont, minden éltípushoz egy típusél tartozik.;b) … elemi tevékenységek egyszerű szekvenciája.
5.17.2017 13:56:50;0;a) a modell vonatkozhat még nem létező (pl. tervezett) rendszerre is., a) a modellalkotás célja, hogy a modellen elsősorban az adott problémával kapcsolatos, releváns információk jelenjenek meg., a) egy modell elhanyagolhatja a világ bizonyos tulajdonságait.;b) M1 több információt tartalmaz, mint M2., d) M2 absztrahálja M1 modellt.;a) …S \ S' biztosan kizárólagos;b) egy állapotból ugyanarra az eseményre több átmenet definiált, eltérő kimenetet adva., d) egy állapotot elhagy egy eseménnyel kiváltott és egy spontán átmenet is, eltérő kimenetet adva.;;b) A rendszer kisebb részekre bontása., d) A rendszerben található kapcsolatok és összeköttetések meghatározása.;…reprezentálhat egy tartalmazási struktúrát., a) …élcímkére szűrve is egy vagy több fa marad.;b) A típusgráfban minden csomóponttípushoz egy típuscsomópont, minden éltípushoz egy típusél tartozik.;b) … elemi tevékenységek egyszerű szekvenciája.
5.17.2017 13:57:44;0;a) a modell vonatkozhat még nem létező (pl. tervezett) rendszerre is., a) a modellalkotás célja, hogy a modellen elsősorban az adott problémával kapcsolatos, releváns információk jelenjenek meg., a) egy modell elhanyagolhatja a világ bizonyos tulajdonságait.;b) M1 több információt tartalmaz, mint M2., d) M2 absztrahálja M1 modellt.;a) …S \ S' biztosan kizárólagos;b) egy állapotból ugyanarra az eseményre több átmenet definiált, eltérő kimenetet adva., d) egy állapotot elhagy egy eseménnyel kiváltott és egy spontán átmenet is, eltérő kimenetet adva.;;d) A rendszerben található kapcsolatok és összeköttetések meghatározása.;…reprezentálhat egy tartalmazási struktúrát., a) …élcímkére szűrve is egy vagy több fa marad.;b) A típusgráfban minden csomóponttípushoz egy típuscsomópont, minden éltípushoz egy típusél tartozik.;b) … elemi tevékenységek egyszerű szekvenciája.
5.17.2017 14:04:09;0;a) a modell vonatkozhat még nem létező (pl. tervezett) rendszerre is., a) a modellalkotás célja, hogy a modellen elsősorban az adott problémával kapcsolatos, releváns információk jelenjenek meg., a) egy modell elhanyagolhatja a világ bizonyos tulajdonságait.;b) M1 több információt tartalmaz, mint M2., d) M2 absztrahálja M1 modellt.;a) …S \ S' biztosan kizárólagos;b) egy állapotból ugyanarra az eseményre több átmenet definiált, eltérő kimenetet adva.;;b) A rendszer kisebb részekre bontása., d) A rendszerben található kapcsolatok és összeköttetések meghatározása.;…reprezentálhat egy tartalmazási struktúrát., a) …élcímkére szűrve is egy vagy több fa marad.;b) A típusgráfban minden csomóponttípushoz egy típuscsomópont, minden éltípushoz egy típusél tartozik.;b) … elemi tevékenységek egyszerű szekvenciája.
5.17.2017 14:04:11;0;;;;;;;;;
5.17.2017 14:04:48;0;;;;;a) …mindenképpen determinisztikus lesz., b) … mindenképpen fog őrfeltételeket tartalmazni., c) … kevesebb, mint 100 átmenetet tartalmaz., d) … 8-cal osztható számú átmenetet tartalmaz.;;;;
5.17.2017 14:14:45;0;a) a modell vonatkozhat még nem létező (pl. tervezett) rendszerre is., a) a modellalkotás célja, hogy a modellen elsősorban az adott problémával kapcsolatos, releváns információk jelenjenek meg., a) egy modell elhanyagolhatja a világ bizonyos tulajdonságait.;b) M1 több információt tartalmaz, mint M2., d) M2 absztrahálja M1 modellt.;a) …S \ S' biztosan kizárólagos;d) egy állapotot elhagy egy eseménnyel kiváltott és egy spontán átmenet is, eltérő kimenetet adva.;a) …mindenképpen determinisztikus lesz., d) … 8-cal osztható számú átmenetet tartalmaz.;b) A rendszer kisebb részekre bontása., d) A rendszerben található kapcsolatok és összeköttetések meghatározása.;…reprezentálhat egy tartalmazási struktúrát., a) …élcímkére szűrve is egy vagy több fa marad.;b) A típusgráfban minden csomóponttípushoz egy típuscsomópont, minden éltípushoz egy típusél tartozik., a) Az objektum-orientált programozásban használt objektumoknak megfeleltethető a típusgráf egy-egy csomópontja.;b) … elemi tevékenységek egyszerű szekvenciája.
5.17.2017 14:20:05;0;a) a modellalkotás célja, hogy a modellen elsősorban az adott problémával kapcsolatos, releváns információk jelenjenek meg., a) egy modell elhanyagolhatja a világ bizonyos tulajdonságait.;b) M1 több információt tartalmaz, mint M2., d) M2 absztrahálja M1 modellt.;a) …S \ S' biztosan kizárólagos, c) …S ? S' biztosan teljes;b) egy állapotból ugyanarra az eseményre több átmenet definiált, eltérő kimenetet adva., d) egy állapotot elhagy egy eseménnyel kiváltott és egy spontán átmenet is, eltérő kimenetet adva.;;b) A rendszer kisebb részekre bontása., d) A rendszerben található kapcsolatok és összeköttetések meghatározása.;…reprezentálhat egy tartalmazási struktúrát., a) …élcímkére szűrve is egy vagy több fa marad.;b) A típusgráfban minden csomóponttípushoz egy típuscsomópont, minden éltípushoz egy típusél tartozik., c) Az objektum-orientált programozásban használt osztályoknak megfeleltethető a típusgráf egy-egy csomópontja.;b) … elemi tevékenységek egyszerű szekvenciája.
5.17.2017 14:24:16;0;a) a modell vonatkozhat még nem létező (pl. tervezett) rendszerre is., a) a modellalkotás célja, hogy a modellen elsősorban az adott problémával kapcsolatos, releváns információk jelenjenek meg., a) egy modell elhanyagolhatja a világ bizonyos tulajdonságait.;a) M2 több információt tartalmaz, mint M1., d) M2 absztrahálja M1 modellt.;a) …S \ S' biztosan kizárólagos;d) egy állapotot elhagy egy eseménnyel kiváltott és egy spontán átmenet is, eltérő kimenetet adva.;;b) A rendszer kisebb részekre bontása., d) A rendszerben található kapcsolatok és összeköttetések meghatározása.;…reprezentálhat egy tartalmazási struktúrát., a) …élcímkére szűrve is egy vagy több fa marad.;b) A típusgráfban minden csomóponttípushoz egy típuscsomópont, minden éltípushoz egy típusél tartozik., c) Az objektum-orientált programozásban használt osztályoknak megfeleltethető a típusgráf egy-egy csomópontja.;b) … elemi tevékenységek egyszerű szekvenciája.
