Időbélyeg;Pontszám;"1.	Egy numerikus változó…";"2.	Egy (nem túlterhelt) rendszer kihasználtsága pontosan akkor maximális…";"3.	A Little-törvény…";"4.	Ha a folyamatmodellt jólstrukturáltnak építjük, ezzel teljesen kizárható…";"5.	A holtpont (deadlock)…";"6.	Végtelen ciklus (livelock) …";"7.	Egy (funkcionális) tesztesetnek mindig része…";"8.	Egy tesztorákulum…";"9.	Teszteléskor a 100%-os fedettség …";"10.	A modellellenőrzés (egybeírva, tehát nem a „modellek ellenőrzése”)"
5.17.2017 11:46:08;0;a) …olyan változó, amelyen értelmezhetők az alapvető aritmetikai műveletek., a) …másik numerikus változóhoz való viszonyának ábrázolására használható pont-pont diagram, más néven scatterplot.;b) …amikor az átbocsátási ráta értéke megegyezik az áteresztőképesség értékével.;a) …tanult alakja egyensúlyi állapotban érvényes csak., c) …érvényes több lépést tartalmazó folyamatmodellel leírt rendszerekre is.;a) …a join csomópontoknál a holtpont kialakulása.;a) …a rendszernek olyan állapota, amelyből a modell szerint sehogyan nem léphet át más állapotba, nem mutathat további viselkedést.;a) …bekövetkezése esetén a rendszer csak akkor képes kilépni a ciklusból ha a rendszer viselkedése időlegesen eltér a modellben specifikálttól (pl. újraindítjuk), c) …bekövetkezhet például úgy, ha egy ciklus kilépési döntés (decision) csomó-pontjának kimeneti őrfeltételei közül minden körülmények között a ciklusban maradáshoz tartozó lesz csak igaz.;b) …a tesztbemenet, c) …állapotgéppel megadott tesztorákulum, d) …konkrét, elvárt (referencia) kimeneti szekvencia;a) …mindig pontosan megmondja, hogy mi az elvárt kimenet., b) …célja detektálni azokat az eseteket, amikor a rendszer érvénytelen bemenetet kap.;a) … csak egy adott metrikára érvényes, például a teljes állapotfedés nem garantál 100%-os átmenetfedést., d) …azt jelenti, hogy a kiválasztott teszteset a modell minden olyan részét érintik, ame-lyet a teljes tesztkészlet bármelyik tesztje érint.;a) …azt vizsgálja, hogy a modell megfelel-e a követelményeknek., d) …kimerítő elemzést végez, tehát az összes lehetséges viselkedést vizsgálja.
5.17.2017 11:48:43;0;a) …olyan változó, amelyen értelmezhetők az alapvető aritmetikai műveletek., a) …másik numerikus változóhoz való viszonyának ábrázolására használható pont-pont diagram, más néven scatterplot.;a) …amikor az érkezési ráta értéke megegyezik az áteresztőképesség értékével., b) …amikor az átbocsátási ráta értéke megegyezik az áteresztőképesség értékével.;a) …tanult alakja egyensúlyi állapotban érvényes csak., c) …érvényes több lépést tartalmazó folyamatmodellel leírt rendszerekre is.;;a) …a rendszernek olyan állapota, amelyből a modell szerint sehogyan nem léphet át más állapotba, nem mutathat további viselkedést., a) …kizárólag csak a folyamatot termináló vezérlési csomópontban jelentkezhet.;a) …bekövetkezése esetén a rendszer csak akkor képes kilépni a ciklusból ha a rendszer viselkedése időlegesen eltér a modellben specifikálttól (pl. újraindítjuk), c) …bekövetkezhet például úgy, ha egy ciklus kilépési döntés (decision) csomó-pontjának kimeneti őrfeltételei közül minden körülmények között a ciklusban maradáshoz tartozó lesz csak igaz.;b) …a tesztbemenet, c) …állapotgéppel megadott tesztorákulum;;a) … csak egy adott metrikára érvényes, például a teljes állapotfedés nem garantál 100%-os átmenetfedést., d) …azt jelenti, hogy a kiválasztott teszteset a modell minden olyan részét érintik, ame-lyet a teljes tesztkészlet bármelyik tesztje érint.;a) …azt vizsgálja, hogy a modell megfelel-e a követelményeknek., c) …dinamikus elemzésnek számít., d) …kimerítő elemzést végez, tehát az összes lehetséges viselkedést vizsgálja.
5.17.2017 11:56:47;0;a) …olyan változó, amelyen értelmezhetők az alapvető aritmetikai műveletek., a) …másik numerikus változóhoz való viszonyának ábrázolására használható pont-pont diagram, más néven scatterplot.;b) …amikor az átbocsátási ráta értéke megegyezik az áteresztőképesség értékével., c) …amikor minden komponens kihasználtsága 100%.;a) …tanult alakja egyensúlyi állapotban érvényes csak., c) …érvényes több lépést tartalmazó folyamatmodellel leírt rendszerekre is.;a) …a join csomópontoknál a holtpont kialakulása., b) …a nemdeterminisztikus viselkedés.;a) …a rendszernek olyan állapota, amelyből a modell szerint sehogyan nem léphet át más állapotba, nem mutathat további viselkedést., b) …minden join esetén szükségszerűen előfordul., c) …minden hierarchikus állapotgépben szükségszerűen előfordul.;a) …bekövetkezése esetén a rendszer csak akkor képes kilépni a ciklusból ha a rendszer viselkedése időlegesen eltér a modellben specifikálttól (pl. újraindítjuk), c) …bekövetkezhet például úgy, ha egy ciklus kilépési döntés (decision) csomó-pontjának kimeneti őrfeltételei közül minden körülmények között a ciklusban maradáshoz tartozó lesz csak igaz.;b) …a tesztbemenet;b) …célja detektálni azokat az eseteket, amikor a rendszer érvénytelen bemenetet kap.;a) … csak egy adott metrikára érvényes, például a teljes állapotfedés nem garantál 100%-os átmenetfedést., d) …azt jelenti, hogy a kiválasztott teszteset a modell minden olyan részét érintik, ame-lyet a teljes tesztkészlet bármelyik tesztje érint.;a) …azt vizsgálja, hogy a modell megfelel-e a követelményeknek., c) …dinamikus elemzésnek számít., d) …kimerítő elemzést végez, tehát az összes lehetséges viselkedést vizsgálja.
5.17.2017 11:58:48;0;a) …olyan változó, amelyen értelmezhetők az alapvető aritmetikai műveletek., a) …másik numerikus változóhoz való viszonyának ábrázolására használható pont-pont diagram, más néven scatterplot.;a) …amikor az érkezési ráta értéke megegyezik az áteresztőképesség értékével., b) …amikor az átbocsátási ráta értéke megegyezik az áteresztőképesség értékével.;a) …tanult alakja egyensúlyi állapotban érvényes csak., c) …érvényes több lépést tartalmazó folyamatmodellel leírt rendszerekre is.;a) …a join csomópontoknál a holtpont kialakulása.;a) …a rendszernek olyan állapota, amelyből a modell szerint sehogyan nem léphet át más állapotba, nem mutathat további viselkedést.;a) …bekövetkezése esetén a rendszer csak akkor képes kilépni a ciklusból ha a rendszer viselkedése időlegesen eltér a modellben specifikálttól (pl. újraindítjuk), c) …bekövetkezhet például úgy, ha egy ciklus kilépési döntés (decision) csomó-pontjának kimeneti őrfeltételei közül minden körülmények között a ciklusban maradáshoz tartozó lesz csak igaz.;b) …a tesztbemenet;;a) … csak egy adott metrikára érvényes, például a teljes állapotfedés nem garantál 100%-os átmenetfedést.;d) …kimerítő elemzést végez, tehát az összes lehetséges viselkedést vizsgálja.
5.17.2017 12:00:15;0;a) …olyan változó, amelyen értelmezhetők az alapvető aritmetikai műveletek., a) …másik numerikus változóhoz való viszonyának ábrázolására használható pont-pont diagram, más néven scatterplot.;a) …amikor az érkezési ráta értéke megegyezik az áteresztőképesség értékével., b) …amikor az átbocsátási ráta értéke megegyezik az áteresztőképesség értékével.;a) …tanult alakja egyensúlyi állapotban érvényes csak., b) …csak 1 kapacitású (kizárólagos) erőforrások esetén alkalmazható, c) …érvényes több lépést tartalmazó folyamatmodellel leírt rendszerekre is., d) …a funkciók népszerűségi sorrendjének reciprokával becsli a végrehajtási időt.;a) …a join csomópontoknál a holtpont kialakulása.;a) …a rendszernek olyan állapota, amelyből a modell szerint sehogyan nem léphet át más állapotba, nem mutathat további viselkedést., b) …minden join esetén szükségszerűen előfordul.;a) …bekövetkezése esetén a rendszer csak akkor képes kilépni a ciklusból ha a rendszer viselkedése időlegesen eltér a modellben specifikálttól (pl. újraindítjuk), c) …bekövetkezhet például úgy, ha egy ciklus kilépési döntés (decision) csomó-pontjának kimeneti őrfeltételei közül minden körülmények között a ciklusban maradáshoz tartozó lesz csak igaz.;b) …a tesztbemenet;b) …célja detektálni azokat az eseteket, amikor a rendszer érvénytelen bemenetet kap.;a) … csak egy adott metrikára érvényes, például a teljes állapotfedés nem garantál 100%-os átmenetfedést.;a) …azt vizsgálja, hogy a modell megfelel-e a követelményeknek., c) …dinamikus elemzésnek számít., d) …kimerítő elemzést végez, tehát az összes lehetséges viselkedést vizsgálja.
5.17.2017 12:01:55;0;a) …olyan változó, amelyen értelmezhetők az alapvető aritmetikai műveletek., a) …másik numerikus változóhoz való viszonyának ábrázolására használható pont-pont diagram, más néven scatterplot.;a) …amikor az érkezési ráta értéke megegyezik az áteresztőképesség értékével., b) …amikor az átbocsátási ráta értéke megegyezik az áteresztőképesség értékével.;a) …tanult alakja egyensúlyi állapotban érvényes csak., c) …érvényes több lépést tartalmazó folyamatmodellel leírt rendszerekre is.;a) …a join csomópontoknál a holtpont kialakulása.;a) …a rendszernek olyan állapota, amelyből a modell szerint sehogyan nem léphet át más állapotba, nem mutathat további viselkedést.;a) …bekövetkezése esetén a rendszer csak akkor képes kilépni a ciklusból ha a rendszer viselkedése időlegesen eltér a modellben specifikálttól (pl. újraindítjuk), c) …bekövetkezhet például úgy, ha egy ciklus kilépési döntés (decision) csomó-pontjának kimeneti őrfeltételei közül minden körülmények között a ciklusban maradáshoz tartozó lesz csak igaz.;b) …a tesztbemenet;b) …célja detektálni azokat az eseteket, amikor a rendszer érvénytelen bemenetet kap.;a) … csak egy adott metrikára érvényes, például a teljes állapotfedés nem garantál 100%-os átmenetfedést.;a) …azt vizsgálja, hogy a modell megfelel-e a követelményeknek., c) …dinamikus elemzésnek számít., d) …kimerítő elemzést végez, tehát az összes lehetséges viselkedést vizsgálja.
5.17.2017 12:09:21;0;a) …olyan változó, amelyen értelmezhetők az alapvető aritmetikai műveletek., a) …másik numerikus változóhoz való viszonyának ábrázolására használható pont-pont diagram, más néven scatterplot., d) …értékének eloszlását szokás párhuzamos koordináta diagramon, más néven osz-lopdiagramon ábrázolni.;a) …amikor az érkezési ráta értéke megegyezik az áteresztőképesség értékével., b) …amikor az átbocsátási ráta értéke megegyezik az áteresztőképesség értékével., c) …amikor minden komponens kihasználtsága 100%.;a) …tanult alakja egyensúlyi állapotban érvényes csak., b) …csak 1 kapacitású (kizárólagos) erőforrások esetén alkalmazható;;a) …kizárólag csak a folyamatot termináló vezérlési csomópontban jelentkezhet.;a) …bekövetkezése esetén a rendszer csak akkor képes kilépni a ciklusból ha a rendszer viselkedése időlegesen eltér a modellben specifikálttól (pl. újraindítjuk), c) …bekövetkezhet például úgy, ha egy ciklus kilépési döntés (decision) csomó-pontjának kimeneti őrfeltételei közül minden körülmények között a ciklusban maradáshoz tartozó lesz csak igaz.;a) …a tesztfedettség, b) …a tesztbemenet, d) …konkrét, elvárt (referencia) kimeneti szekvencia;b) …célja detektálni azokat az eseteket, amikor a rendszer érvénytelen bemenetet kap., d) …feltétlenül állapotmentes, a rendszer által kiadott minden kimeneti jelet önmagá-ban, a korábbi be- és kimenetektől függetlenül értékel ki.;d) …azt jelenti, hogy a kiválasztott teszteset a modell minden olyan részét érintik, ame-lyet a teljes tesztkészlet bármelyik tesztje érint.;a) …azt vizsgálja, hogy a modell megfelel-e a követelményeknek., b) …a tesztelés egyik fajtája., d) …kimerítő elemzést végez, tehát az összes lehetséges viselkedést vizsgálja.
5.17.2017 12:14:54;0;a) …olyan változó, amelyen értelmezhetők az alapvető aritmetikai műveletek., a) …másik numerikus változóhoz való viszonyának ábrázolására használható pont-pont diagram, más néven scatterplot.;a) …amikor az érkezési ráta értéke megegyezik az áteresztőképesség értékével., b) …amikor az átbocsátási ráta értéke megegyezik az áteresztőképesség értékével.;a) …tanult alakja egyensúlyi állapotban érvényes csak.;a) …a join csomópontoknál a holtpont kialakulása.;a) …a rendszernek olyan állapota, amelyből a modell szerint sehogyan nem léphet át más állapotba, nem mutathat további viselkedést.;a) …bekövetkezése esetén a rendszer csak akkor képes kilépni a ciklusból ha a rendszer viselkedése időlegesen eltér a modellben specifikálttól (pl. újraindítjuk), c) …bekövetkezhet például úgy, ha egy ciklus kilépési döntés (decision) csomó-pontjának kimeneti őrfeltételei közül minden körülmények között a ciklusban maradáshoz tartozó lesz csak igaz.;b) …a tesztbemenet;;d) …azt jelenti, hogy a kiválasztott teszteset a modell minden olyan részét érintik, ame-lyet a teljes tesztkészlet bármelyik tesztje érint.;d) …kimerítő elemzést végez, tehát az összes lehetséges viselkedést vizsgálja.
5.17.2017 12:25:17;0;;;;;;;;;;
5.17.2017 12:38:36;0;a) …olyan változó, amelyen értelmezhetők az alapvető aritmetikai műveletek., a) …másik numerikus változóhoz való viszonyának ábrázolására használható pont-pont diagram, más néven scatterplot.;b) …amikor az átbocsátási ráta értéke megegyezik az áteresztőképesség értékével.;a) …tanult alakja egyensúlyi állapotban érvényes csak., c) …érvényes több lépést tartalmazó folyamatmodellel leírt rendszerekre is.;;a) …a rendszernek olyan állapota, amelyből a modell szerint sehogyan nem léphet át más állapotba, nem mutathat további viselkedést.;a) …bekövetkezése esetén a rendszer csak akkor képes kilépni a ciklusból ha a rendszer viselkedése időlegesen eltér a modellben specifikálttól (pl. újraindítjuk), c) …bekövetkezhet például úgy, ha egy ciklus kilépési döntés (decision) csomó-pontjának kimeneti őrfeltételei közül minden körülmények között a ciklusban maradáshoz tartozó lesz csak igaz.;b) …a tesztbemenet, d) …konkrét, elvárt (referencia) kimeneti szekvencia;b) …célja detektálni azokat az eseteket, amikor a rendszer érvénytelen bemenetet kap.;a) … csak egy adott metrikára érvényes, például a teljes állapotfedés nem garantál 100%-os átmenetfedést.;a) …azt vizsgálja, hogy a modell megfelel-e a követelményeknek., d) …kimerítő elemzést végez, tehát az összes lehetséges viselkedést vizsgálja.
5.17.2017 12:38:56;0;a) …olyan változó, amelyen értelmezhetők az alapvető aritmetikai műveletek., b) …lehet ordinális vagy nominális változó.;a) …amikor az érkezési ráta értéke megegyezik az áteresztőképesség értékével.;a) …tanult alakja egyensúlyi állapotban érvényes csak.;;a) …a rendszernek olyan állapota, amelyből a modell szerint sehogyan nem léphet át más állapotba, nem mutathat további viselkedést.;a) …bekövetkezése esetén a rendszer csak akkor képes kilépni a ciklusból ha a rendszer viselkedése időlegesen eltér a modellben specifikálttól (pl. újraindítjuk), c) …bekövetkezhet például úgy, ha egy ciklus kilépési döntés (decision) csomó-pontjának kimeneti őrfeltételei közül minden körülmények között a ciklusban maradáshoz tartozó lesz csak igaz.;b) …a tesztbemenet, c) …állapotgéppel megadott tesztorákulum;a) …mindig pontosan megmondja, hogy mi az elvárt kimenet.;d) …azt jelenti, hogy a kiválasztott teszteset a modell minden olyan részét érintik, ame-lyet a teljes tesztkészlet bármelyik tesztje érint.;b) …a tesztelés egyik fajtája., d) …kimerítő elemzést végez, tehát az összes lehetséges viselkedést vizsgálja.
5.17.2017 12:48:58;0;;;;;;;;;;
5.17.2017 12:49:38;0;a) …olyan változó, amelyen értelmezhetők az alapvető aritmetikai műveletek.;b) …amikor az átbocsátási ráta értéke megegyezik az áteresztőképesség értékével.;a) …tanult alakja egyensúlyi állapotban érvényes csak., c) …érvényes több lépést tartalmazó folyamatmodellel leírt rendszerekre is.;d) … a végtelen ciklus.;a) …a rendszernek olyan állapota, amelyből a modell szerint sehogyan nem léphet át más állapotba, nem mutathat további viselkedést.;a) …bekövetkezése esetén a rendszer csak akkor képes kilépni a ciklusból ha a rendszer viselkedése időlegesen eltér a modellben specifikálttól (pl. újraindítjuk), c) …bekövetkezhet például úgy, ha egy ciklus kilépési döntés (decision) csomó-pontjának kimeneti őrfeltételei közül minden körülmények között a ciklusban maradáshoz tartozó lesz csak igaz.;b) …a tesztbemenet, c) …állapotgéppel megadott tesztorákulum;a) …mindig pontosan megmondja, hogy mi az elvárt kimenet., b) …célja detektálni azokat az eseteket, amikor a rendszer érvénytelen bemenetet kap.;b) …csak öntesztelő rendszerrel érhető el., d) …azt jelenti, hogy a kiválasztott teszteset a modell minden olyan részét érintik, ame-lyet a teljes tesztkészlet bármelyik tesztje érint.;b) …a tesztelés egyik fajtája., d) …kimerítő elemzést végez, tehát az összes lehetséges viselkedést vizsgálja.
5.17.2017 12:54:38;0;a) …olyan változó, amelyen értelmezhetők az alapvető aritmetikai műveletek., a) …másik numerikus változóhoz való viszonyának ábrázolására használható pont-pont diagram, más néven scatterplot.;a) …amikor az érkezési ráta értéke megegyezik az áteresztőképesség értékével., b) …amikor az átbocsátási ráta értéke megegyezik az áteresztőképesség értékével., d) …amikor a rendszer egyensúlyi állapotban van.;a) …tanult alakja egyensúlyi állapotban érvényes csak.;a) …a join csomópontoknál a holtpont kialakulása., b) …a nemdeterminisztikus viselkedés., c) …a nem teljesen specifikált viselkedés., d) … a végtelen ciklus.;a) …a rendszernek olyan állapota, amelyből a modell szerint sehogyan nem léphet át más állapotba, nem mutathat további viselkedést.;a) …bekövetkezése esetén a rendszer csak akkor képes kilépni a ciklusból ha a rendszer viselkedése időlegesen eltér a modellben specifikálttól (pl. újraindítjuk);b) …a tesztbemenet;c) …végrehajtás nélkül meg tudja mondani, hogy a teszt sikeresen lefuthat-e majd az elkészült rendszeren.;a) … csak egy adott metrikára érvényes, például a teljes állapotfedés nem garantál 100%-os átmenetfedést.;b) …a tesztelés egyik fajtája.
5.17.2017 12:58:49;0;a) …olyan változó, amelyen értelmezhetők az alapvető aritmetikai műveletek., a) …másik numerikus változóhoz való viszonyának ábrázolására használható pont-pont diagram, más néven scatterplot.;a) …amikor az érkezési ráta értéke megegyezik az áteresztőképesség értékével., d) …amikor a rendszer egyensúlyi állapotban van.;c) …érvényes több lépést tartalmazó folyamatmodellel leírt rendszerekre is.;a) …a join csomópontoknál a holtpont kialakulása., b) …a nemdeterminisztikus viselkedés.;a) …a rendszernek olyan állapota, amelyből a modell szerint sehogyan nem léphet át más állapotba, nem mutathat további viselkedést.;a) …bekövetkezése esetén a rendszer csak akkor képes kilépni a ciklusból ha a rendszer viselkedése időlegesen eltér a modellben specifikálttól (pl. újraindítjuk), c) …bekövetkezhet például úgy, ha egy ciklus kilépési döntés (decision) csomó-pontjának kimeneti őrfeltételei közül minden körülmények között a ciklusban maradáshoz tartozó lesz csak igaz.;b) …a tesztbemenet, d) …konkrét, elvárt (referencia) kimeneti szekvencia;c) …végrehajtás nélkül meg tudja mondani, hogy a teszt sikeresen lefuthat-e majd az elkészült rendszeren., d) …feltétlenül állapotmentes, a rendszer által kiadott minden kimeneti jelet önmagá-ban, a korábbi be- és kimenetektől függetlenül értékel ki.;a) … csak egy adott metrikára érvényes, például a teljes állapotfedés nem garantál 100%-os átmenetfedést., d) …azt jelenti, hogy a kiválasztott teszteset a modell minden olyan részét érintik, ame-lyet a teljes tesztkészlet bármelyik tesztje érint.;b) …a tesztelés egyik fajtája., d) …kimerítő elemzést végez, tehát az összes lehetséges viselkedést vizsgálja.
