Időbélyeg;Pontszám;"1.	Az absztrakció";"2.	A modellt ábrázoló diagram";"3.	A példánygráfot";"4.	Modellek dekompozíciójánál";"5.	Egy rendszer működését érvényesen modellező egyszerű állapotgép (nem Harel statechart)";"6.	Folyamatmodellezésnél";"1.	Egy valós rendszer viselkedését leíró teljes folyamatmodell";"8.	Az (imperatív) program vezérlési folyama";"9.	Ha a folyamat egy fork csomópont után az egyik ágon egy A, a másik ágon egy B tevékeny-séggel folytatódik, akkor";"10.	Teljesítménymodelleknél"
5.17.2017 11:01:08;0;;;;;;;;;;
5.17.2017 11:03:53;0;b) mindig információt hagy el a modellből, d) megfordítása a finomítás;a) mellett sok modell szövegesen is leírható.;a) arra használjuk, hogy a rendszert alkotó elemek egymáshoz való viszonyát leír-juk., d) szűrhetjük (absztrahálhatjuk) adott címkéjű elemeire, és ez újabb gráfmodellt eredményez.;a helyesség szükséges feltétele, hogy a (dekompozíció utáni) rendszer minden elemének megfeleltethető legyen az eredeti rendszer valamely eleme., egy problémát vagy rendszert kisebb részekre bontunk.;a) a rendszer működése során minden időpontban pontosan egy aktív (aktuális) állapotot tartalmaz.;a) alapvetően a rendszerben elvégzett tevékenységek és a köztük fennálló sorrendi függőségek modellezésére koncentrálunk.;;b) a program objektumai és függvényparaméterei között fennálló viszonyokat rögzíti., c) fork-join jólstrukturált blokkal reprezentálja a switch-case szerkezetet.;d) B befejeződhet A kezdete előtt.;a) a kihasználtság megadható az átbocsátás és az átbocsátóképesség hányadosa-ként., b) az érkezési ráta lehet nagyobb, mint az átbocsátóképesség.
5.17.2017 11:05:28;0;b) mindig információt hagy el a modellből, d) megfordítása a finomítás;a) mellett sok modell szövegesen is leírható.;a) arra használjuk, hogy a rendszert alkotó elemek egymáshoz való viszonyát leír-juk., d) szűrhetjük (absztrahálhatjuk) adott címkéjű elemeire, és ez újabb gráfmodellt eredményez.;a helyesség szükséges feltétele, hogy a (dekompozíció utáni) rendszer minden elemének megfeleltethető legyen az eredeti rendszer valamely eleme., egy problémát vagy rendszert kisebb részekre bontunk.;a) a rendszer működése során minden időpontban pontosan egy aktív (aktuális) állapotot tartalmaz.;a) alapvetően a rendszerben elvégzett tevékenységek és a köztük fennálló sorrendi függőségek modellezésére koncentrálunk.;b) tartalmazhat olyan merge csomópontot, amelybe a vele párosított decision (dön-tés) érintése nélkül el lehet jutni, c) mindig tartalmaz kezdő (start, flow begin) csomópontot.;a) egy folyamatmodell, d) elemi tevékenységekkel reprezentálja a program utasításait.;d) B befejeződhet A kezdete előtt.;a) a kihasználtság megadható az átbocsátás és az átbocsátóképesség hányadosa-ként., b) az érkezési ráta lehet nagyobb, mint az átbocsátóképesség.
5.17.2017 11:09:34;0;b) mindig információt hagy el a modellből, d) megfordítása a finomítás;;c) tartalmazási viszonyok és típus-példány viszonyok alkotják.;a helyesség szükséges feltétele, hogy a (dekompozíció utáni) rendszer minden elemének megfeleltethető legyen az eredeti rendszer valamely eleme., egy problémát vagy rendszert kisebb részekre bontunk.;a) kötelezően determinisztikus., a) a rendszer működése során minden időpontban pontosan egy aktív (aktuális) állapotot tartalmaz.;a) alapvetően a rendszerben elvégzett tevékenységek és a köztük fennálló sorrendi függőségek modellezésére koncentrálunk.;a) mindenképpen jólstrukturált, c) mindig tartalmaz kezdő (start, flow begin) csomópontot.;;a) A és B tevékenységek egyszerre fognak elkezdődni., d) B befejeződhet A kezdete előtt.;a) a kihasználtság megadható az átbocsátás és az átbocsátóképesség hányadosa-ként., b) az érkezési ráta lehet nagyobb, mint az átbocsátóképesség.
5.17.2017 11:31:31;0;b) mindig információt hagy el a modellből, d) megfordítása a finomítás;a) mellett sok modell szövegesen is leírható.;a) arra használjuk, hogy a rendszert alkotó elemek egymáshoz való viszonyát leír-juk., d) szűrhetjük (absztrahálhatjuk) adott címkéjű elemeire, és ez újabb gráfmodellt eredményez.;a helyesség szükséges feltétele, hogy a (dekompozíció utáni) rendszer minden elemének megfeleltethető legyen az eredeti rendszer valamely eleme., egy problémát vagy rendszert kisebb részekre bontunk.;a) a rendszer működése során minden időpontban pontosan egy aktív (aktuális) állapotot tartalmaz.;;;;a) A és B tevékenységek egyszerre fognak elkezdődni., d) B befejeződhet A kezdete előtt.;
5.17.2017 11:53:47;0;b) mindig információt hagy el a modellből, d) megfordítása a finomítás;a) mellett sok modell szövegesen is leírható.;a) arra használjuk, hogy a rendszert alkotó elemek egymáshoz való viszonyát leír-juk.;a) logikai a dekompozíció, ha a rendszert alkatrészei szerint bontjuk fel., egy problémát vagy rendszert kisebb részekre bontunk.;a) a rendszer működése során minden időpontban pontosan egy aktív (aktuális) állapotot tartalmaz.;a) alapvetően a rendszerben elvégzett tevékenységek és a köztük fennálló sorrendi függőségek modellezésére koncentrálunk., b) a rendszert fizikai elemei mentén bontjuk részekre, ha alfolyamatokat alkalmazunk a modellben.;c) mindig tartalmaz kezdő (start, flow begin) csomópontot., d) minden csomópontját pontosan egy vezérlési él hagyja el;;b) A és B közül pontosan egy lesz végrehajtva.;
5.17.2017 11:54:07;0;b) mindig információt hagy el a modellből, d) megfordítása a finomítás;b) mindig a modellel azonos információtartalmú., c) megegyezik a modellezett rendszerrel.;a) arra használjuk, hogy a rendszert alkotó elemek egymáshoz való viszonyát leír-juk., b) típuscsomóntok és típusélek alkotják., d) szűrhetjük (absztrahálhatjuk) adott címkéjű elemeire, és ez újabb gráfmodellt eredményez.;a) a helyesség szükséges feltétele, hogy az eredeti rendszer minden elemének pontosan egy modellelem feleljen meg a dekompozíció után., a helyesség szükséges feltétele, hogy a (dekompozíció utáni) rendszer minden elemének megfeleltethető legyen az eredeti rendszer valamely eleme., a) logikai a dekompozíció, ha a rendszert alkatrészei szerint bontjuk fel., egy problémát vagy rendszert kisebb részekre bontunk.;a) kötelezően determinisztikus., a) csak a rendszeren kívülről érkező input hatására válthat állapotot.;a) alapvetően a rendszerben elvégzett tevékenységek és a köztük fennálló sorrendi függőségek modellezésére koncentrálunk., c) egy elemi tevékenység végrehajtása mindig pillanatszerű., d) egy folyamatmodell akkor helyes, ha minden lefutása során minden tevékenységét végrehatjuk.;a) mindenképpen jólstrukturált, d) minden csomópontját pontosan egy vezérlési él hagyja el;d) elemi tevékenységekkel reprezentálja a program utasításait.;a) A és B tevékenységek egyszerre fognak elkezdődni.;a) a kihasználtság megadható az átbocsátás és az átbocsátóképesség hányadosa-ként., b) az érkezési ráta lehet nagyobb, mint az átbocsátóképesség., c) egyensúlyi állapotban az érkezési ráta megegyezik az átbocsátóképességgel.
5.17.2017 12:00:59;0;b) mindig információt hagy el a modellből, d) megfordítása a finomítás;a) mellett sok modell szövegesen is leírható., b) mindig a modellel azonos információtartalmú.;b) típuscsomóntok és típusélek alkotják., d) szűrhetjük (absztrahálhatjuk) adott címkéjű elemeire, és ez újabb gráfmodellt eredményez.;a) a helyesség szükséges feltétele, hogy az eredeti rendszer minden elemének pontosan egy modellelem feleljen meg a dekompozíció után., a helyesség szükséges feltétele, hogy a (dekompozíció utáni) rendszer minden elemének megfeleltethető legyen az eredeti rendszer valamely eleme.;a) csak a rendszeren kívülről érkező input hatására válthat állapotot.;d) egy folyamatmodell akkor helyes, ha minden lefutása során minden tevékenységét végrehatjuk.;c) mindig tartalmaz kezdő (start, flow begin) csomópontot.;a) egy folyamatmodell;a) A és B tevékenységek egyszerre fognak elkezdődni., c) B-nek A befejezése előtt el kell kezdődnie.;a) a kihasználtság megadható az átbocsátás és az átbocsátóképesség hányadosa-ként., c) egyensúlyi állapotban az érkezési ráta megegyezik az átbocsátóképességgel.
5.17.2017 12:05:02;0;b) mindig információt hagy el a modellből, d) megfordítása a finomítás;a) mellett sok modell szövegesen is leírható.;a) arra használjuk, hogy a rendszert alkotó elemek egymáshoz való viszonyát leír-juk., c) tartalmazási viszonyok és típus-példány viszonyok alkotják., d) szűrhetjük (absztrahálhatjuk) adott címkéjű elemeire, és ez újabb gráfmodellt eredményez.;a helyesség szükséges feltétele, hogy a (dekompozíció utáni) rendszer minden elemének megfeleltethető legyen az eredeti rendszer valamely eleme., egy problémát vagy rendszert kisebb részekre bontunk.;a) a rendszer működése során minden időpontban pontosan egy aktív (aktuális) állapotot tartalmaz.;a) alapvetően a rendszerben elvégzett tevékenységek és a köztük fennálló sorrendi függőségek modellezésére koncentrálunk.;c) mindig tartalmaz kezdő (start, flow begin) csomópontot.;a) egy folyamatmodell;d) B befejeződhet A kezdete előtt.;
5.17.2017 12:10:20;0;a) modellből indul ki, és az eredménye egy valós rendszer;;a) arra használjuk, hogy a rendszert alkotó elemek egymáshoz való viszonyát leír-juk.;a) logikai a dekompozíció, ha a rendszert alkatrészei szerint bontjuk fel.;c) minden állapotátmenetekor kötelezően outputot bocsát ki.;a) alapvetően a rendszerben elvégzett tevékenységek és a köztük fennálló sorrendi függőségek modellezésére koncentrálunk.;;;;
5.17.2017 12:50:20;0;;;;;;;;;;
5.17.2017 12:53:01;0;;;;;;;;;;
5.17.2017 13:01:00;0;b) mindig információt hagy el a modellből, d) megfordítása a finomítás;a) mellett sok modell szövegesen is leírható., b) mindig a modellel azonos információtartalmú.;a) arra használjuk, hogy a rendszert alkotó elemek egymáshoz való viszonyát leír-juk., b) típuscsomóntok és típusélek alkotják., d) szűrhetjük (absztrahálhatjuk) adott címkéjű elemeire, és ez újabb gráfmodellt eredményez.;a) a helyesség szükséges feltétele, hogy az eredeti rendszer minden elemének pontosan egy modellelem feleljen meg a dekompozíció után., a helyesség szükséges feltétele, hogy a (dekompozíció utáni) rendszer minden elemének megfeleltethető legyen az eredeti rendszer valamely eleme.;a) a rendszer működése során minden időpontban pontosan egy aktív (aktuális) állapotot tartalmaz.;a) alapvetően a rendszerben elvégzett tevékenységek és a köztük fennálló sorrendi függőségek modellezésére koncentrálunk., c) egy elemi tevékenység végrehajtása mindig pillanatszerű.;c) mindig tartalmaz kezdő (start, flow begin) csomópontot.;a) egy folyamatmodell, d) elemi tevékenységekkel reprezentálja a program utasításait.;a) A és B tevékenységek egyszerre fognak elkezdődni.;a) a kihasználtság megadható az átbocsátás és az átbocsátóképesség hányadosa-ként., b) az érkezési ráta lehet nagyobb, mint az átbocsátóképesség., c) egyensúlyi állapotban az érkezési ráta megegyezik az átbocsátóképességgel.
5.17.2017 13:17:56;0;a) modellből indul ki, és az eredménye egy valós rendszer, b) mindig információt hagy el a modellből, d) megfordítása a finomítás;a) mellett sok modell szövegesen is leírható., b) mindig a modellel azonos információtartalmú.;b) típuscsomóntok és típusélek alkotják., c) tartalmazási viszonyok és típus-példány viszonyok alkotják., d) szűrhetjük (absztrahálhatjuk) adott címkéjű elemeire, és ez újabb gráfmodellt eredményez.;a helyesség szükséges feltétele, hogy a (dekompozíció utáni) rendszer minden elemének megfeleltethető legyen az eredeti rendszer valamely eleme., egy problémát vagy rendszert kisebb részekre bontunk.;a) kötelezően determinisztikus., a) a rendszer működése során minden időpontban pontosan egy aktív (aktuális) állapotot tartalmaz.;a) alapvetően a rendszerben elvégzett tevékenységek és a köztük fennálló sorrendi függőségek modellezésére koncentrálunk.;b) tartalmazhat olyan merge csomópontot, amelybe a vele párosított decision (dön-tés) érintése nélkül el lehet jutni, c) mindig tartalmaz kezdő (start, flow begin) csomópontot.;a) egy folyamatmodell, d) elemi tevékenységekkel reprezentálja a program utasításait.;a) A és B tevékenységek egyszerre fognak elkezdődni., d) B befejeződhet A kezdete előtt.;a) a kihasználtság megadható az átbocsátás és az átbocsátóképesség hányadosa-ként., d) a kihasználtság akkor nagyobb, mint 1, ha nincs elég erőforrás a rendszerben.
5.17.2017 13:19:10;0;b) mindig információt hagy el a modellből, c) eredményeképp a modell kevesebb valós rendszernek lesz érvényes modellje, d) megfordítása a finomítás;a) mellett sok modell szövegesen is leírható., b) mindig a modellel azonos információtartalmú.;b) típuscsomóntok és típusélek alkotják., c) tartalmazási viszonyok és típus-példány viszonyok alkotják.;a helyesség szükséges feltétele, hogy a (dekompozíció utáni) rendszer minden elemének megfeleltethető legyen az eredeti rendszer valamely eleme., egy problémát vagy rendszert kisebb részekre bontunk.;a) a rendszer működése során minden időpontban pontosan egy aktív (aktuális) állapotot tartalmaz.;a) alapvetően a rendszerben elvégzett tevékenységek és a köztük fennálló sorrendi függőségek modellezésére koncentrálunk.;b) tartalmazhat olyan merge csomópontot, amelybe a vele párosított decision (dön-tés) érintése nélkül el lehet jutni, c) mindig tartalmaz kezdő (start, flow begin) csomópontot.;a) egy folyamatmodell, d) elemi tevékenységekkel reprezentálja a program utasításait.;d) B befejeződhet A kezdete előtt.;c) egyensúlyi állapotban az érkezési ráta megegyezik az átbocsátóképességgel.
5.17.2017 13:22:08;0;b) mindig információt hagy el a modellből, d) megfordítása a finomítás;a) mellett sok modell szövegesen is leírható., b) mindig a modellel azonos információtartalmú.;a) arra használjuk, hogy a rendszert alkotó elemek egymáshoz való viszonyát leír-juk., d) szűrhetjük (absztrahálhatjuk) adott címkéjű elemeire, és ez újabb gráfmodellt eredményez.;a helyesség szükséges feltétele, hogy a (dekompozíció utáni) rendszer minden elemének megfeleltethető legyen az eredeti rendszer valamely eleme., egy problémát vagy rendszert kisebb részekre bontunk.;a) a rendszer működése során minden időpontban pontosan egy aktív (aktuális) állapotot tartalmaz.;b) a rendszert fizikai elemei mentén bontjuk részekre, ha alfolyamatokat alkalmazunk a modellben.;b) tartalmazhat olyan merge csomópontot, amelybe a vele párosított decision (dön-tés) érintése nélkül el lehet jutni, c) mindig tartalmaz kezdő (start, flow begin) csomópontot.;a) egy folyamatmodell, b) a program objektumai és függvényparaméterei között fennálló viszonyokat rögzíti., d) elemi tevékenységekkel reprezentálja a program utasításait.;d) B befejeződhet A kezdete előtt.;a) a kihasználtság megadható az átbocsátás és az átbocsátóképesség hányadosa-ként., c) egyensúlyi állapotban az érkezési ráta megegyezik az átbocsátóképességgel.
5.17.2017 13:23:26;0;d) megfordítása a finomítás;a) mellett sok modell szövegesen is leírható.;b) típuscsomóntok és típusélek alkotják.;a) a helyesség szükséges feltétele, hogy az eredeti rendszer minden elemének pontosan egy modellelem feleljen meg a dekompozíció után., a helyesség szükséges feltétele, hogy a (dekompozíció utáni) rendszer minden elemének megfeleltethető legyen az eredeti rendszer valamely eleme., egy problémát vagy rendszert kisebb részekre bontunk.;a) kötelezően determinisztikus., a) a rendszer működése során minden időpontban pontosan egy aktív (aktuális) állapotot tartalmaz.;a) alapvetően a rendszerben elvégzett tevékenységek és a köztük fennálló sorrendi függőségek modellezésére koncentrálunk.;c) mindig tartalmaz kezdő (start, flow begin) csomópontot.;d) elemi tevékenységekkel reprezentálja a program utasításait.;d) B befejeződhet A kezdete előtt.;a) a kihasználtság megadható az átbocsátás és az átbocsátóképesség hányadosa-ként.
5.17.2017 13:24:12;0;b) mindig információt hagy el a modellből, d) megfordítása a finomítás;a) mellett sok modell szövegesen is leírható.;a) arra használjuk, hogy a rendszert alkotó elemek egymáshoz való viszonyát leír-juk., b) típuscsomóntok és típusélek alkotják., d) szűrhetjük (absztrahálhatjuk) adott címkéjű elemeire, és ez újabb gráfmodellt eredményez.;a helyesség szükséges feltétele, hogy a (dekompozíció utáni) rendszer minden elemének megfeleltethető legyen az eredeti rendszer valamely eleme., egy problémát vagy rendszert kisebb részekre bontunk.;a) a rendszer működése során minden időpontban pontosan egy aktív (aktuális) állapotot tartalmaz.;a) alapvetően a rendszerben elvégzett tevékenységek és a köztük fennálló sorrendi függőségek modellezésére koncentrálunk.;c) mindig tartalmaz kezdő (start, flow begin) csomópontot.;;a) A és B tevékenységek egyszerre fognak elkezdődni., c) B-nek A befejezése előtt el kell kezdődnie.;a) a kihasználtság megadható az átbocsátás és az átbocsátóképesség hányadosa-ként., b) az érkezési ráta lehet nagyobb, mint az átbocsátóképesség., c) egyensúlyi állapotban az érkezési ráta megegyezik az átbocsátóképességgel., d) a kihasználtság akkor nagyobb, mint 1, ha nincs elég erőforrás a rendszerben.
5.17.2017 13:28:24;0;a) modellből indul ki, és az eredménye egy valós rendszer, b) mindig információt hagy el a modellből, d) megfordítása a finomítás;a) mellett sok modell szövegesen is leírható., c) megegyezik a modellezett rendszerrel.;a) arra használjuk, hogy a rendszert alkotó elemek egymáshoz való viszonyát leír-juk., b) típuscsomóntok és típusélek alkotják., d) szűrhetjük (absztrahálhatjuk) adott címkéjű elemeire, és ez újabb gráfmodellt eredményez.;a helyesség szükséges feltétele, hogy a (dekompozíció utáni) rendszer minden elemének megfeleltethető legyen az eredeti rendszer valamely eleme., egy problémát vagy rendszert kisebb részekre bontunk.;a) kötelezően determinisztikus., a) a rendszer működése során minden időpontban pontosan egy aktív (aktuális) állapotot tartalmaz.;a) alapvetően a rendszerben elvégzett tevékenységek és a köztük fennálló sorrendi függőségek modellezésére koncentrálunk., b) a rendszert fizikai elemei mentén bontjuk részekre, ha alfolyamatokat alkalmazunk a modellben.;a) mindenképpen jólstrukturált;;a) A és B tevékenységek egyszerre fognak elkezdődni.;a) a kihasználtság megadható az átbocsátás és az átbocsátóképesség hányadosa-ként., b) az érkezési ráta lehet nagyobb, mint az átbocsátóképesség., d) a kihasználtság akkor nagyobb, mint 1, ha nincs elég erőforrás a rendszerben.
5.17.2017 13:29:24;0;;;;;;;;;;
5.17.2017 13:31:01;0;b) mindig információt hagy el a modellből, d) megfordítása a finomítás;a) mellett sok modell szövegesen is leírható.;a) arra használjuk, hogy a rendszert alkotó elemek egymáshoz való viszonyát leír-juk., b) típuscsomóntok és típusélek alkotják., c) tartalmazási viszonyok és típus-példány viszonyok alkotják.;a) logikai a dekompozíció, ha a rendszert alkatrészei szerint bontjuk fel., egy problémát vagy rendszert kisebb részekre bontunk.;a) kötelezően determinisztikus., a) a rendszer működése során minden időpontban pontosan egy aktív (aktuális) állapotot tartalmaz.;a) alapvetően a rendszerben elvégzett tevékenységek és a köztük fennálló sorrendi függőségek modellezésére koncentrálunk.;c) mindig tartalmaz kezdő (start, flow begin) csomópontot.;a) egy folyamatmodell, d) elemi tevékenységekkel reprezentálja a program utasításait.;a) A és B tevékenységek egyszerre fognak elkezdődni., d) B befejeződhet A kezdete előtt.;a) a kihasználtság megadható az átbocsátás és az átbocsátóképesség hányadosa-ként.
5.17.2017 13:44:59;0;c) eredményeképp a modell kevesebb valós rendszernek lesz érvényes modellje, d) megfordítása a finomítás;a) mellett sok modell szövegesen is leírható., b) mindig a modellel azonos információtartalmú.;a) arra használjuk, hogy a rendszert alkotó elemek egymáshoz való viszonyát leír-juk., c) tartalmazási viszonyok és típus-példány viszonyok alkotják., d) szűrhetjük (absztrahálhatjuk) adott címkéjű elemeire, és ez újabb gráfmodellt eredményez.;a) a helyesség szükséges feltétele, hogy az eredeti rendszer minden elemének pontosan egy modellelem feleljen meg a dekompozíció után., a helyesség szükséges feltétele, hogy a (dekompozíció utáni) rendszer minden elemének megfeleltethető legyen az eredeti rendszer valamely eleme., a) logikai a dekompozíció, ha a rendszert alkatrészei szerint bontjuk fel., egy problémát vagy rendszert kisebb részekre bontunk.;;;c) mindig tartalmaz kezdő (start, flow begin) csomópontot.;d) elemi tevékenységekkel reprezentálja a program utasításait.;a) A és B tevékenységek egyszerre fognak elkezdődni., d) B befejeződhet A kezdete előtt.;a) a kihasználtság megadható az átbocsátás és az átbocsátóképesség hányadosa-ként., b) az érkezési ráta lehet nagyobb, mint az átbocsátóképesség., c) egyensúlyi állapotban az érkezési ráta megegyezik az átbocsátóképességgel.
