Időbélyeg;Pontszám;"1.	Az informatikai rendszer infrastruktúra terhelésének időbeli változása";"2.	A fájlszerver egyensúlyi helyzetében lévő teljesítménymodelljében";"3.	Kizárólagos erőforrás esetén";"1.	A folyamatban egy adott tevékenység vizitációs száma";"5.	A modell statikus vizsgálata";"6.	A tesztelés célja";"7.	Egyetlen folytonos numerikus változó ábrázolására célszerűen alkalmazható";"8.	Egy numerikus változó 55 adatpontból számított középértékei közül";"9.	Egy változó 95 adatpontból számított középértékei közül";"1.	A kódgenerátor"
5.17.2017 11:41:06;0;b) befolyással lehet a rendszer kihasználtságára., a) befolyással lehet a rendszer átbocsátási rátájára., d) befolyással lehet a rendszer átbocsátóképességére.;b) a Little-törvény mindig teljesül., c) az átbocsátóképesség mindig nagyobb vagy egyenlő, mint az érkezési ráta.;b) az átbocsátási ráta és az átlagos erőforrás-használati idő szorzata mindig 1.;c) egyensúlyi helyzetben megegyezik a tevékenység és az egész folyamat érkezési rátáinak hányadosával, d) egyensúlyi helyzetben megegyezik az érkezési rátával;a) alkalmazható viselkedésmodellek esetén, b) ellenőrizhet szintaktikai szabályokat;;a) a boxplot, d) a scatterplot (pontfelhő / pont-pont diagram);a) az átlag lehet kisebb, mint a medián, b) a medián lehet kisebb, mint a módusz, c) lehet egyszerre több módusz érték;a) folytonos numerikus változó esetén a medián közvetlenül leolvasható a boxplotról, c) diszkrét numerikus változó esetén az átlag mindig kiszámítható a hisztogram alapján, d) kategorikus változó esetén a módusz közvetlenül leolvasható az oszlopdiagramról;a) inputja lehet szöveges szintaxissal adott modell., b) inputja lehet grafikus szintaxissal adott modell., c) outputja lehet egy program forráskódja mint szövegfájl.
5.17.2017 11:42:18;0;a) a Zipf-törvénnyel modellezhető jól., b) befolyással lehet a rendszer kihasználtságára.;b) a Little-törvény mindig teljesül., c) az átbocsátóképesség mindig nagyobb vagy egyenlő, mint az érkezési ráta.;;c) egyensúlyi helyzetben megegyezik a tevékenység és az egész folyamat érkezési rátáinak hányadosával;b) ellenőrizhet szintaktikai szabályokat, a) kereshet hibamintákat a modellben;a) szintaktikai szabályok ellenőrzése, c) formális matematikai eszközökkel igazolni a megvalósítás helyességét, d) a fedettségi értékek kiszámítása;c) a hisztogram, d) a scatterplot (pontfelhő / pont-pont diagram);b) a medián lehet kisebb, mint a módusz, c) lehet egyszerre több módusz érték;a) folytonos numerikus változó esetén a medián közvetlenül leolvasható a boxplotról, c) diszkrét numerikus változó esetén az átlag mindig kiszámítható a hisztogram alapján;a) inputja lehet szöveges szintaxissal adott modell., b) inputja lehet grafikus szintaxissal adott modell., c) outputja lehet egy program forráskódja mint szövegfájl.
5.17.2017 11:44:53;0;b) befolyással lehet a rendszer kihasználtságára., a) befolyással lehet a rendszer átbocsátási rátájára.;b) a Little-törvény mindig teljesül., c) az átbocsátóképesség mindig nagyobb vagy egyenlő, mint az érkezési ráta.;b) az átbocsátási ráta és az átlagos erőforrás-használati idő szorzata mindig 1.;c) egyensúlyi helyzetben megegyezik a tevékenység és az egész folyamat érkezési rátáinak hányadosával;a) alkalmazható viselkedésmodellek esetén, b) ellenőrizhet szintaktikai szabályokat, a) kereshet hibamintákat a modellben;a) szintaktikai szabályok ellenőrzése;a) a boxplot, c) a hisztogram;a) az átlag lehet kisebb, mint a medián, b) a medián lehet kisebb, mint a módusz, c) lehet egyszerre több módusz érték;a) folytonos numerikus változó esetén a medián közvetlenül leolvasható a boxplotról, d) kategorikus változó esetén a módusz közvetlenül leolvasható az oszlopdiagramról;a) inputja lehet szöveges szintaxissal adott modell., b) inputja lehet grafikus szintaxissal adott modell., c) outputja lehet egy program forráskódja mint szövegfájl.
5.17.2017 11:55:02;0;b) befolyással lehet a rendszer kihasználtságára., d) befolyással lehet a rendszer átbocsátóképességére.;b) a Little-törvény mindig teljesül., d) az összes fájlra azonos gyakorisággal érkezik kérés.;;a) a Zipf-törvény miatt mindig fordítottan arányos a tevékenység átbocsátóképességével;a) alkalmazható viselkedésmodellek esetén, b) ellenőrizhet szintaktikai szabályokat;a) szintaktikai szabályok ellenőrzése, c) formális matematikai eszközökkel igazolni a megvalósítás helyességét;d) a scatterplot (pontfelhő / pont-pont diagram);a) az átlag lehet kisebb, mint a medián, b) a medián lehet kisebb, mint a módusz, c) lehet egyszerre több módusz érték;a) folytonos numerikus változó esetén a medián közvetlenül leolvasható a boxplotról;a) inputja lehet szöveges szintaxissal adott modell., b) inputja lehet grafikus szintaxissal adott modell., c) outputja lehet egy program forráskódja mint szövegfájl., d) abban különbözik a fordítóprogramoktól, hogy hatékonyabb programot eredményez.
5.17.2017 12:05:50;0;a) a Zipf-törvénnyel modellezhető jól., a) befolyással lehet a rendszer átbocsátási rátájára.;b) a Little-törvény mindig teljesül., c) az átbocsátóképesség mindig nagyobb vagy egyenlő, mint az érkezési ráta.;a) az átbocsátási ráta és az érkezési ráta hányadosa mindig 1.;a) a Little-tövény értelmében arányos a tevékenység átbocsátási rátájának és az átlagos végrehajtási idejének szorzatával, d) egyensúlyi helyzetben megegyezik az érkezési rátával;a) alkalmazható viselkedésmodellek esetén, b) ellenőrizhet szintaktikai szabályokat, a) kereshet hibamintákat a modellben;a) szintaktikai szabályok ellenőrzése, b) meggyőződni a tesztorákulum működésének helyességéről, c) formális matematikai eszközökkel igazolni a megvalósítás helyességét;a) a boxplot, c) a hisztogram;a) az átlag lehet kisebb, mint a medián, b) a medián lehet kisebb, mint a módusz, c) lehet egyszerre több módusz érték;a) folytonos numerikus változó esetén a medián közvetlenül leolvasható a boxplotról, c) diszkrét numerikus változó esetén az átlag mindig kiszámítható a hisztogram alapján, d) kategorikus változó esetén a módusz közvetlenül leolvasható az oszlopdiagramról;a) inputja lehet szöveges szintaxissal adott modell., b) inputja lehet grafikus szintaxissal adott modell., c) outputja lehet egy program forráskódja mint szövegfájl.
5.17.2017 12:10:50;0;b) befolyással lehet a rendszer kihasználtságára., a) befolyással lehet a rendszer átbocsátási rátájára.;b) a Little-törvény mindig teljesül., c) az átbocsátóképesség mindig nagyobb vagy egyenlő, mint az érkezési ráta.;b) az átbocsátási ráta és az átlagos erőforrás-használati idő szorzata mindig 1.;c) egyensúlyi helyzetben megegyezik a tevékenység és az egész folyamat érkezési rátáinak hányadosával;a) alkalmazható viselkedésmodellek esetén, b) ellenőrizhet szintaktikai szabályokat, a) kereshet hibamintákat a modellben;a) szintaktikai szabályok ellenőrzése, b) meggyőződni a tesztorákulum működésének helyességéről, c) formális matematikai eszközökkel igazolni a megvalósítás helyességét;a) a boxplot, c) a hisztogram;a) az átlag lehet kisebb, mint a medián, b) a medián lehet kisebb, mint a módusz, c) lehet egyszerre több módusz érték;a) folytonos numerikus változó esetén a medián közvetlenül leolvasható a boxplotról, d) kategorikus változó esetén a módusz közvetlenül leolvasható az oszlopdiagramról;a) inputja lehet szöveges szintaxissal adott modell., b) inputja lehet grafikus szintaxissal adott modell., c) outputja lehet egy program forráskódja mint szövegfájl.
5.17.2017 12:20:02;0;b) befolyással lehet a rendszer kihasználtságára.;a) a kihasználtság mindig 100%-os., b) a Little-törvény mindig teljesül.;;;b) ellenőrizhet szintaktikai szabályokat, a) kereshet hibamintákat a modellben;c) formális matematikai eszközökkel igazolni a megvalósítás helyességét;b) az oszlopdiagram;b) a medián lehet kisebb, mint a módusz, c) lehet egyszerre több módusz érték;a) folytonos numerikus változó esetén a medián közvetlenül leolvasható a boxplotról;a) inputja lehet szöveges szintaxissal adott modell., b) inputja lehet grafikus szintaxissal adott modell., c) outputja lehet egy program forráskódja mint szövegfájl.
5.17.2017 12:32:24;0;b) befolyással lehet a rendszer kihasználtságára., a) befolyással lehet a rendszer átbocsátási rátájára.;b) a Little-törvény mindig teljesül., c) az átbocsátóképesség mindig nagyobb vagy egyenlő, mint az érkezési ráta.;b) az átbocsátási ráta és az átlagos erőforrás-használati idő szorzata mindig 1., d) az erőforrás kihasználtsága mindig 1.;c) egyensúlyi helyzetben megegyezik a tevékenység és az egész folyamat érkezési rátáinak hányadosával;a) alkalmazható viselkedésmodellek esetén, b) ellenőrizhet szintaktikai szabályokat, a) kereshet hibamintákat a modellben;d) a fedettségi értékek kiszámítása;b) az oszlopdiagram, c) a hisztogram, d) a scatterplot (pontfelhő / pont-pont diagram);a) az átlag lehet kisebb, mint a medián, c) lehet egyszerre több módusz érték;a) folytonos numerikus változó esetén a medián közvetlenül leolvasható a boxplotról, c) diszkrét numerikus változó esetén az átlag mindig kiszámítható a hisztogram alapján, d) kategorikus változó esetén a módusz közvetlenül leolvasható az oszlopdiagramról;a) inputja lehet szöveges szintaxissal adott modell., b) inputja lehet grafikus szintaxissal adott modell., c) outputja lehet egy program forráskódja mint szövegfájl.
5.17.2017 12:35:49;0;;;;;;;;;;
5.17.2017 12:45:57;0;d) befolyással lehet a rendszer átbocsátóképességére.;b) a Little-törvény mindig teljesül.;a) az adott pillanatban az erőforrást használó folyamatpéldányok száma mindig pontosan 1.;;a) alkalmazható viselkedésmodellek esetén, b) ellenőrizhet szintaktikai szabályokat;c) formális matematikai eszközökkel igazolni a megvalósítás helyességét, d) a fedettségi értékek kiszámítása;c) a hisztogram;a) az átlag lehet kisebb, mint a medián, b) a medián lehet kisebb, mint a módusz, c) lehet egyszerre több módusz érték;a) folytonos numerikus változó esetén a medián közvetlenül leolvasható a boxplotról, c) diszkrét numerikus változó esetén az átlag mindig kiszámítható a hisztogram alapján;a) inputja lehet szöveges szintaxissal adott modell., b) inputja lehet grafikus szintaxissal adott modell., c) outputja lehet egy program forráskódja mint szövegfájl.
5.17.2017 12:48:45;0;;;;;;;;;;
5.17.2017 12:49:54;0;b) befolyással lehet a rendszer kihasználtságára., a) befolyással lehet a rendszer átbocsátási rátájára.;b) a Little-törvény mindig teljesül., c) az átbocsátóképesség mindig nagyobb vagy egyenlő, mint az érkezési ráta.;b) az átbocsátási ráta és az átlagos erőforrás-használati idő szorzata mindig 1.;c) egyensúlyi helyzetben megegyezik a tevékenység és az egész folyamat érkezési rátáinak hányadosával;a) alkalmazható viselkedésmodellek esetén, b) ellenőrizhet szintaktikai szabályokat, a) kereshet hibamintákat a modellben;c) formális matematikai eszközökkel igazolni a megvalósítás helyességét, d) a fedettségi értékek kiszámítása;a) a boxplot, c) a hisztogram;a) az átlag lehet kisebb, mint a medián, b) a medián lehet kisebb, mint a módusz, c) lehet egyszerre több módusz érték;a) folytonos numerikus változó esetén a medián közvetlenül leolvasható a boxplotról, d) kategorikus változó esetén a módusz közvetlenül leolvasható az oszlopdiagramról;a) inputja lehet szöveges szintaxissal adott modell., b) inputja lehet grafikus szintaxissal adott modell., c) outputja lehet egy program forráskódja mint szövegfájl.
5.17.2017 12:56:00;0;b) befolyással lehet a rendszer kihasználtságára., a) befolyással lehet a rendszer átbocsátási rátájára., d) befolyással lehet a rendszer átbocsátóképességére.;b) a Little-törvény mindig teljesül.;;;a) alkalmazható viselkedésmodellek esetén, b) ellenőrizhet szintaktikai szabályokat, a) kereshet hibamintákat a modellben;b) meggyőződni a tesztorákulum működésének helyességéről, d) a fedettségi értékek kiszámítása;d) a scatterplot (pontfelhő / pont-pont diagram);a) az átlag lehet kisebb, mint a medián, b) a medián lehet kisebb, mint a módusz;a) folytonos numerikus változó esetén a medián közvetlenül leolvasható a boxplotról, c) diszkrét numerikus változó esetén az átlag mindig kiszámítható a hisztogram alapján;a) inputja lehet szöveges szintaxissal adott modell., c) outputja lehet egy program forráskódja mint szövegfájl.
5.17.2017 12:58:13;0;a) a Zipf-törvénnyel modellezhető jól., b) befolyással lehet a rendszer kihasználtságára.;b) a Little-törvény mindig teljesül., d) az összes fájlra azonos gyakorisággal érkezik kérés.;a) az adott pillanatban az erőforrást használó folyamatpéldányok száma mindig pontosan 1.;;b) ellenőrizhet szintaktikai szabályokat, a) kereshet hibamintákat a modellben;a) szintaktikai szabályok ellenőrzése;b) az oszlopdiagram;a) az átlag lehet kisebb, mint a medián, b) a medián lehet kisebb, mint a módusz, c) lehet egyszerre több módusz érték, d) lehet egyszerre több medián érték;a) folytonos numerikus változó esetén a medián közvetlenül leolvasható a boxplotról, c) diszkrét numerikus változó esetén az átlag mindig kiszámítható a hisztogram alapján;a) inputja lehet szöveges szintaxissal adott modell., c) outputja lehet egy program forráskódja mint szövegfájl.
5.17.2017 13:06:29;0;b) befolyással lehet a rendszer kihasználtságára., a) befolyással lehet a rendszer átbocsátási rátájára., d) befolyással lehet a rendszer átbocsátóképességére.;b) a Little-törvény mindig teljesül., c) az átbocsátóképesség mindig nagyobb vagy egyenlő, mint az érkezési ráta.;a) az adott pillanatban az erőforrást használó folyamatpéldányok száma mindig pontosan 1.;c) egyensúlyi helyzetben megegyezik a tevékenység és az egész folyamat érkezési rátáinak hányadosával;a) alkalmazható viselkedésmodellek esetén, b) ellenőrizhet szintaktikai szabályokat, a) kereshet hibamintákat a modellben;d) a fedettségi értékek kiszámítása;a) a boxplot, b) az oszlopdiagram, c) a hisztogram;a) az átlag lehet kisebb, mint a medián, b) a medián lehet kisebb, mint a módusz, c) lehet egyszerre több módusz érték;a) folytonos numerikus változó esetén a medián közvetlenül leolvasható a boxplotról, c) diszkrét numerikus változó esetén az átlag mindig kiszámítható a hisztogram alapján;a) inputja lehet szöveges szintaxissal adott modell., b) inputja lehet grafikus szintaxissal adott modell., c) outputja lehet egy program forráskódja mint szövegfájl.
5.17.2017 13:23:22;0;d) befolyással lehet a rendszer átbocsátóképességére.;b) a Little-törvény mindig teljesül., c) az átbocsátóképesség mindig nagyobb vagy egyenlő, mint az érkezési ráta.;;a) a Zipf-törvény miatt mindig fordítottan arányos a tevékenység átbocsátóképességével, d) egyensúlyi helyzetben megegyezik az érkezési rátával;b) ellenőrizhet szintaktikai szabályokat, a) kereshet hibamintákat a modellben, d) tesztorákulumot igényel;c) formális matematikai eszközökkel igazolni a megvalósítás helyességét, d) a fedettségi értékek kiszámítása;b) az oszlopdiagram, d) a scatterplot (pontfelhő / pont-pont diagram);b) a medián lehet kisebb, mint a módusz, c) lehet egyszerre több módusz érték;a) folytonos numerikus változó esetén a medián közvetlenül leolvasható a boxplotról;a) inputja lehet szöveges szintaxissal adott modell., b) inputja lehet grafikus szintaxissal adott modell., c) outputja lehet egy program forráskódja mint szövegfájl.
5.17.2017 13:27:38;0;b) befolyással lehet a rendszer kihasználtságára., a) befolyással lehet a rendszer átbocsátási rátájára.;b) a Little-törvény mindig teljesül., c) az átbocsátóképesség mindig nagyobb vagy egyenlő, mint az érkezési ráta.;b) az átbocsátási ráta és az átlagos erőforrás-használati idő szorzata mindig 1., a) az adott pillanatban az erőforrást használó folyamatpéldányok száma mindig pontosan 1.;c) egyensúlyi helyzetben megegyezik a tevékenység és az egész folyamat érkezési rátáinak hányadosával;a) alkalmazható viselkedésmodellek esetén, b) ellenőrizhet szintaktikai szabályokat, a) kereshet hibamintákat a modellben;a) szintaktikai szabályok ellenőrzése, c) formális matematikai eszközökkel igazolni a megvalósítás helyességét;a) a boxplot, c) a hisztogram, d) a scatterplot (pontfelhő / pont-pont diagram);a) az átlag lehet kisebb, mint a medián, b) a medián lehet kisebb, mint a módusz, c) lehet egyszerre több módusz érték;a) folytonos numerikus változó esetén a medián közvetlenül leolvasható a boxplotról;a) inputja lehet szöveges szintaxissal adott modell., b) inputja lehet grafikus szintaxissal adott modell., c) outputja lehet egy program forráskódja mint szövegfájl.
5.17.2017 13:28:51;0;b) befolyással lehet a rendszer kihasználtságára., a) befolyással lehet a rendszer átbocsátási rátájára.;b) a Little-törvény mindig teljesül., c) az átbocsátóképesség mindig nagyobb vagy egyenlő, mint az érkezési ráta.;a) az adott pillanatban az erőforrást használó folyamatpéldányok száma mindig pontosan 1., d) az erőforrás kihasználtsága mindig 1.;a) a Little-tövény értelmében arányos a tevékenység átbocsátási rátájának és az átlagos végrehajtási idejének szorzatával, c) egyensúlyi helyzetben megegyezik a tevékenység és az egész folyamat érkezési rátáinak hányadosával;b) ellenőrizhet szintaktikai szabályokat, a) kereshet hibamintákat a modellben;c) formális matematikai eszközökkel igazolni a megvalósítás helyességét, d) a fedettségi értékek kiszámítása;b) az oszlopdiagram, c) a hisztogram;a) az átlag lehet kisebb, mint a medián, b) a medián lehet kisebb, mint a módusz, c) lehet egyszerre több módusz érték;a) folytonos numerikus változó esetén a medián közvetlenül leolvasható a boxplotról, c) diszkrét numerikus változó esetén az átlag mindig kiszámítható a hisztogram alapján, d) kategorikus változó esetén a módusz közvetlenül leolvasható az oszlopdiagramról;a) inputja lehet szöveges szintaxissal adott modell., c) outputja lehet egy program forráskódja mint szövegfájl., d) abban különbözik a fordítóprogramoktól, hogy hatékonyabb programot eredményez.
5.17.2017 13:33:03;0;b) befolyással lehet a rendszer kihasználtságára., a) befolyással lehet a rendszer átbocsátási rátájára.;b) a Little-törvény mindig teljesül., c) az átbocsátóképesség mindig nagyobb vagy egyenlő, mint az érkezési ráta.;b) az átbocsátási ráta és az átlagos erőforrás-használati idő szorzata mindig 1.;c) egyensúlyi helyzetben megegyezik a tevékenység és az egész folyamat érkezési rátáinak hányadosával;a) alkalmazható viselkedésmodellek esetén, b) ellenőrizhet szintaktikai szabályokat, a) kereshet hibamintákat a modellben;c) formális matematikai eszközökkel igazolni a megvalósítás helyességét, d) a fedettségi értékek kiszámítása;a) a boxplot, c) a hisztogram;a) az átlag lehet kisebb, mint a medián, b) a medián lehet kisebb, mint a módusz, c) lehet egyszerre több módusz érték;a) folytonos numerikus változó esetén a medián közvetlenül leolvasható a boxplotról, d) kategorikus változó esetén a módusz közvetlenül leolvasható az oszlopdiagramról;a) inputja lehet szöveges szintaxissal adott modell., b) inputja lehet grafikus szintaxissal adott modell., c) outputja lehet egy program forráskódja mint szövegfájl.
