Időbélyeg;Pontszám;"1.	A specifikáció és az implementáció… ";"2.	Finomítással …";"3.	A tesztesetek megadásához szükséges... ";"4.	A holtpont …";"5.	Egy erőforrás kihasználtsága…";"6.	Egy folyamat átbocsátási rátája…";"7.	Egyensúlyi helyzetben lévő teljesítménymodell esetén… ";"8.	A folyamatszimuláció és a teljesítménymodellezés esetén…";"9.	Egy folytonos változó jellemző értékeit doboz diagrammal (boxplottal) és hisztogrammal is ábrázoljuk."
5.17.2017 9:48:39;0;a) …lehet például egy szöveges leírás és egy azonos jelentésű állapotgép.;a) …részletezhetjük a modell működését., c) …részletezhetjük a modell által kezelt adatokat.;a) …tesztbemenet, a) …elvárt kimenet vagy tesztorákulum;b) …előfordulhat úgy, hogy a rendszer folyamatai egymásra várakoznak., d) …determinisztikus folyamatban nem fordulhat elő.;a) …nemnegatív, b) …mindig nagyobb vagy egyenlő a vizitációs számnál, a) …egyensúlyi helyzetben megegyezik az érkezési rátával;a) …nemnegatív, c) …kisebb vagy egyenlő az átbocsátóképességnél;b) …időegységenként ugyanannyi folyamatpéldány indul, mint ahány befejeződik, a) …az átbocsátási ráta és az átbocsátóképesség mindig megegyezik;c) …hasonlóság, hogy mindkettő támogatja a hierarchikus modelleket (tehát pl. egy összetett tevékenység takarhat több kisebb elemi lépést, különböző erőforrásigényekkel).;a) A boxplotról mindig könnyedén leolvasható az első kvartilis., d) Minden információ, ami a doboz diagramról könnyen leolvasható, a hisztogramról is könnyen leolvasható, emiatt tekintjük a doboz diagramot a hisztogram egyfajta absztrakciójának.
5.17.2017 9:49:40;0;a) …lehet például egy szöveges leírás és egy azonos jelentésű állapotgép., d) …kapcsolata mindig kölcsönösen egyértelmű, azaz egy specifikációhoz egy implementáció létezik, és fordítva.;c) …részletezhetjük a modell által kezelt adatokat.;a) …tesztbemenet, a) …elvárt kimenet vagy tesztorákulum;a) …egy olyan állapot, amelyből a rendszer a modellezett inputok és események hatására nem képes kilépni, legfeljebb külső (a modellen túlmutató) segítséggel., b) …előfordulhat úgy, hogy a rendszer folyamatai egymásra várakoznak., c) …és a végtelen ciklus között fontos különbség, hogy a végtelen ciklusban történhet állapotváltozás, míg a holtpontban nem.;a) …nemnegatív;a) …nemnegatív, c) …kisebb vagy egyenlő az átbocsátóképességnél, d) …egyensúlyi helyzetben megegyezik az érkezési rátával;b) …időegységenként ugyanannyi folyamatpéldány indul, mint ahány befejeződik, d) …a Little-törvény mindenképpen fennáll;c) …hasonlóság, hogy mindkettő támogatja a hierarchikus modelleket (tehát pl. egy összetett tevékenység takarhat több kisebb elemi lépést, különböző erőforrásigényekkel).;a) A boxplotról mindig könnyedén leolvasható az első kvartilis., c) A boxplotról mindig könnyedén leolvasható a módusz.
5.17.2017 9:52:20;0;a) …lehet például egy szöveges leírás és egy azonos jelentésű állapotgép.;b) …részletezhetjük a modell felépítését.;a) …tesztbemenet;a) …egy olyan állapot, amelyből a rendszer a modellezett inputok és események hatására nem képes kilépni, legfeljebb külső (a modellen túlmutató) segítséggel., b) …előfordulhat úgy, hogy a rendszer folyamatai egymásra várakoznak., c) …és a végtelen ciklus között fontos különbség, hogy a végtelen ciklusban történhet állapotváltozás, míg a holtpontban nem.;a) …nemnegatív, c) …kisebb vagy egyenlő az átbocsátóképességnél;a) …nemnegatív, c) …kisebb vagy egyenlő az átbocsátóképességnél, d) …egyensúlyi helyzetben megegyezik az érkezési rátával;b) …időegységenként ugyanannyi folyamatpéldány indul, mint ahány befejeződik, d) …a Little-törvény mindenképpen fennáll;c) …hasonlóság, hogy mindkettő támogatja a hierarchikus modelleket (tehát pl. egy összetett tevékenység takarhat több kisebb elemi lépést, különböző erőforrásigényekkel).;a) A boxplotról mindig könnyedén leolvasható az első kvartilis., d) Minden információ, ami a doboz diagramról könnyen leolvasható, a hisztogramról is könnyen leolvasható, emiatt tekintjük a doboz diagramot a hisztogram egyfajta absztrakciójának.
5.17.2017 10:01:58;0;a) …lehet például egy szöveges leírás és egy azonos jelentésű állapotgép.;b) …részletezhetjük a modell felépítését.;a) …tesztbemenet, a) …elvárt kimenet vagy tesztorákulum;a) …egy olyan állapot, amelyből a rendszer a modellezett inputok és események hatására nem képes kilépni, legfeljebb külső (a modellen túlmutató) segítséggel., b) …előfordulhat úgy, hogy a rendszer folyamatai egymásra várakoznak., c) …és a végtelen ciklus között fontos különbség, hogy a végtelen ciklusban történhet állapotváltozás, míg a holtpontban nem.;a) …nemnegatív;a) …nemnegatív, c) …kisebb vagy egyenlő az átbocsátóképességnél, d) …egyensúlyi helyzetben megegyezik az érkezési rátával;a) …az átbocsátási ráta és az átbocsátóképesség mindig megegyezik, d) …a Little-törvény mindenképpen fennáll;;a) A boxplotról mindig könnyedén leolvasható az első kvartilis., d) Minden információ, ami a doboz diagramról könnyen leolvasható, a hisztogramról is könnyen leolvasható, emiatt tekintjük a doboz diagramot a hisztogram egyfajta absztrakciójának.
5.17.2017 10:06:19;0;a) …egy fejlesztési lépés/lépéssorozat bemenete ill. kimenete.;b) …részletezhetjük a modell felépítését.;a) …elvárt kimenet vagy tesztorákulum;a) …egy olyan állapot, amelyből a rendszer a modellezett inputok és események hatására nem képes kilépni, legfeljebb külső (a modellen túlmutató) segítséggel., b) …előfordulhat úgy, hogy a rendszer folyamatai egymásra várakoznak., c) …és a végtelen ciklus között fontos különbség, hogy a végtelen ciklusban történhet állapotváltozás, míg a holtpontban nem.;a) …nemnegatív;a) …nemnegatív, d) …egyensúlyi helyzetben megegyezik az érkezési rátával;d) …a Little-törvény mindenképpen fennáll;;d) Minden információ, ami a doboz diagramról könnyen leolvasható, a hisztogramról is könnyen leolvasható, emiatt tekintjük a doboz diagramot a hisztogram egyfajta absztrakciójának.
5.17.2017 10:11:44;0;a) …egy fejlesztési lépés/lépéssorozat bemenete ill. kimenete., a) …lehet például egy szöveges leírás és egy azonos jelentésű állapotgép.;a) …részletezhetjük a modell működését., b) …részletezhetjük a modell felépítését., c) …részletezhetjük a modell által kezelt adatokat., d) …eszköztől függően akár elkészíthetjük a specifikációnak szánt modell egy implementációját.;a) …tesztbemenet, a) …elvárt kimenet vagy tesztorákulum;a) …egy olyan állapot, amelyből a rendszer a modellezett inputok és események hatására nem képes kilépni, legfeljebb külső (a modellen túlmutató) segítséggel., b) …előfordulhat úgy, hogy a rendszer folyamatai egymásra várakoznak., c) …és a végtelen ciklus között fontos különbség, hogy a végtelen ciklusban történhet állapotváltozás, míg a holtpontban nem.;a) …nemnegatív;a) …nemnegatív, c) …kisebb vagy egyenlő az átbocsátóképességnél;b) …időegységenként ugyanannyi folyamatpéldány indul, mint ahány befejeződik, d) …a Little-törvény mindenképpen fennáll;a) …különbség, hogy a szimuláció az erőforrásfoglalások becslése alapján futási eseteket becsül meg, míg a teljesítménymodellen végzett számítások általános összefüggéseket állapítanak meg sok futási eset átlagáról., a) …hasonlóság, hogy mindkét módszer figyelembe veszi az egy tevékenység elvégzésére alkalmas erőforrások számát., c) …hasonlóság, hogy mindkettő támogatja a hierarchikus modelleket (tehát pl. egy összetett tevékenység takarhat több kisebb elemi lépést, különböző erőforrásigényekkel).;a) A boxplotról mindig könnyedén leolvasható az első kvartilis.
5.17.2017 10:12:11;0;a) …egy fejlesztési lépés/lépéssorozat bemenete ill. kimenete., a) …lehet például egy szöveges leírás és egy azonos jelentésű állapotgép.;a) …részletezhetjük a modell működését., b) …részletezhetjük a modell felépítését., c) …részletezhetjük a modell által kezelt adatokat., d) …eszköztől függően akár elkészíthetjük a specifikációnak szánt modell egy implementációját.;a) …tesztbemenet, a) …elvárt kimenet vagy tesztorákulum;a) …egy olyan állapot, amelyből a rendszer a modellezett inputok és események hatására nem képes kilépni, legfeljebb külső (a modellen túlmutató) segítséggel., b) …előfordulhat úgy, hogy a rendszer folyamatai egymásra várakoznak., c) …és a végtelen ciklus között fontos különbség, hogy a végtelen ciklusban történhet állapotváltozás, míg a holtpontban nem.;a) …nemnegatív;a) …nemnegatív, d) …egyensúlyi helyzetben megegyezik az érkezési rátával;b) …időegységenként ugyanannyi folyamatpéldány indul, mint ahány befejeződik, d) …a Little-törvény mindenképpen fennáll;c) …hasonlóság, hogy mindkettő támogatja a hierarchikus modelleket (tehát pl. egy összetett tevékenység takarhat több kisebb elemi lépést, különböző erőforrásigényekkel).;c) A boxplotról mindig könnyedén leolvasható a módusz.
5.17.2017 10:24:05;0;a) …egy fejlesztési lépés/lépéssorozat bemenete ill. kimenete., a) …lehet például egy szöveges leírás és egy azonos jelentésű állapotgép., d) …kapcsolata mindig kölcsönösen egyértelmű, azaz egy specifikációhoz egy implementáció létezik, és fordítva.;a) …részletezhetjük a modell működését., b) …részletezhetjük a modell felépítését.;a) …tesztbemenet, a) …elvárt kimenet vagy tesztorákulum;a) …egy olyan állapot, amelyből a rendszer a modellezett inputok és események hatására nem képes kilépni, legfeljebb külső (a modellen túlmutató) segítséggel., b) …előfordulhat úgy, hogy a rendszer folyamatai egymásra várakoznak., c) …és a végtelen ciklus között fontos különbség, hogy a végtelen ciklusban történhet állapotváltozás, míg a holtpontban nem.;a) …nemnegatív;a) …nemnegatív, c) …kisebb vagy egyenlő az átbocsátóképességnél, d) …egyensúlyi helyzetben megegyezik az érkezési rátával;b) …időegységenként ugyanannyi folyamatpéldány indul, mint ahány befejeződik, d) …a Little-törvény mindenképpen fennáll;c) …hasonlóság, hogy mindkettő támogatja a hierarchikus modelleket (tehát pl. egy összetett tevékenység takarhat több kisebb elemi lépést, különböző erőforrásigényekkel).;a) A boxplotról mindig könnyedén leolvasható az első kvartilis.
5.17.2017 10:27:39;0;;;;;;;;;
5.17.2017 10:30:14;0;a) …lehet például egy szöveges leírás és egy azonos jelentésű állapotgép., d) …kapcsolata mindig kölcsönösen egyértelmű, azaz egy specifikációhoz egy implementáció létezik, és fordítva.;a) …részletezhetjük a modell működését.;a) …tesztbemenet, a) …elvárt kimenet vagy tesztorákulum;a) …egy olyan állapot, amelyből a rendszer a modellezett inputok és események hatására nem képes kilépni, legfeljebb külső (a modellen túlmutató) segítséggel., c) …és a végtelen ciklus között fontos különbség, hogy a végtelen ciklusban történhet állapotváltozás, míg a holtpontban nem.;a) …nemnegatív;a) …nemnegatív, c) …kisebb vagy egyenlő az átbocsátóképességnél, d) …egyensúlyi helyzetben megegyezik az érkezési rátával;a) …az átbocsátási ráta és az átbocsátóképesség mindig megegyezik, d) …a Little-törvény mindenképpen fennáll;;d) Minden információ, ami a doboz diagramról könnyen leolvasható, a hisztogramról is könnyen leolvasható, emiatt tekintjük a doboz diagramot a hisztogram egyfajta absztrakciójának.
5.17.2017 10:37:25;0;a) …egy fejlesztési lépés/lépéssorozat bemenete ill. kimenete., a) …lehet például egy szöveges leírás és egy azonos jelentésű állapotgép.;a) …részletezhetjük a modell működését., b) …részletezhetjük a modell felépítését.;a) …tesztbemenet, a) …elvárt kimenet vagy tesztorákulum;a) …egy olyan állapot, amelyből a rendszer a modellezett inputok és események hatására nem képes kilépni, legfeljebb külső (a modellen túlmutató) segítséggel., b) …előfordulhat úgy, hogy a rendszer folyamatai egymásra várakoznak., c) …és a végtelen ciklus között fontos különbség, hogy a végtelen ciklusban történhet állapotváltozás, míg a holtpontban nem.;a) …nemnegatív;a) …nemnegatív, c) …kisebb vagy egyenlő az átbocsátóképességnél, d) …egyensúlyi helyzetben megegyezik az érkezési rátával;b) …időegységenként ugyanannyi folyamatpéldány indul, mint ahány befejeződik, d) …a Little-törvény mindenképpen fennáll;a) …hasonlóság, hogy mindkét módszer figyelembe veszi az egy tevékenység elvégzésére alkalmas erőforrások számát., c) …hasonlóság, hogy mindkettő támogatja a hierarchikus modelleket (tehát pl. egy összetett tevékenység takarhat több kisebb elemi lépést, különböző erőforrásigényekkel).;a) A boxplotról mindig könnyedén leolvasható az első kvartilis.
5.17.2017 10:39:55;0;a) …lehet például egy szöveges leírás és egy azonos jelentésű állapotgép.;a) …részletezhetjük a modell működését., b) …részletezhetjük a modell felépítését., c) …részletezhetjük a modell által kezelt adatokat.;a) …tesztbemenet, a) …elvárt kimenet vagy tesztorákulum;a) …egy olyan állapot, amelyből a rendszer a modellezett inputok és események hatására nem képes kilépni, legfeljebb külső (a modellen túlmutató) segítséggel., b) …előfordulhat úgy, hogy a rendszer folyamatai egymásra várakoznak., c) …és a végtelen ciklus között fontos különbség, hogy a végtelen ciklusban történhet állapotváltozás, míg a holtpontban nem.;a) …nemnegatív, c) …kisebb vagy egyenlő az átbocsátóképességnél;a) …nemnegatív, c) …kisebb vagy egyenlő az átbocsátóképességnél, d) …egyensúlyi helyzetben megegyezik az érkezési rátával;b) …időegységenként ugyanannyi folyamatpéldány indul, mint ahány befejeződik, d) …a Little-törvény mindenképpen fennáll;a) …különbség, hogy a szimuláció az erőforrásfoglalások becslése alapján futási eseteket becsül meg, míg a teljesítménymodellen végzett számítások általános összefüggéseket állapítanak meg sok futási eset átlagáról., c) …hasonlóság, hogy mindkettő támogatja a hierarchikus modelleket (tehát pl. egy összetett tevékenység takarhat több kisebb elemi lépést, különböző erőforrásigényekkel).;a) A boxplotról mindig könnyedén leolvasható az első kvartilis.
5.17.2017 10:40:46;0;;;;a) …egy olyan állapot, amelyből a rendszer a modellezett inputok és események hatására nem képes kilépni, legfeljebb külső (a modellen túlmutató) segítséggel., b) …előfordulhat úgy, hogy a rendszer folyamatai egymásra várakoznak., c) …és a végtelen ciklus között fontos különbség, hogy a végtelen ciklusban történhet állapotváltozás, míg a holtpontban nem.;;;;;
5.17.2017 10:41:28;0;a) …egy fejlesztési lépés/lépéssorozat bemenete ill. kimenete., b) …közül a specifikációban van több információtartalom, az a konkrétabb., a) …lehet például egy szöveges leírás és egy azonos jelentésű állapotgép.;a) …részletezhetjük a modell működését., b) …részletezhetjük a modell felépítését.;a) …tesztbemenet;a) …egy olyan állapot, amelyből a rendszer a modellezett inputok és események hatására nem képes kilépni, legfeljebb külső (a modellen túlmutató) segítséggel., b) …előfordulhat úgy, hogy a rendszer folyamatai egymásra várakoznak., c) …és a végtelen ciklus között fontos különbség, hogy a végtelen ciklusban történhet állapotváltozás, míg a holtpontban nem.;a) …nemnegatív;a) …nemnegatív, c) …kisebb vagy egyenlő az átbocsátóképességnél, d) …egyensúlyi helyzetben megegyezik az érkezési rátával;b) …időegységenként ugyanannyi folyamatpéldány indul, mint ahány befejeződik, d) …a Little-törvény mindenképpen fennáll;;a) A boxplotról mindig könnyedén leolvasható az első kvartilis.
5.17.2017 10:42:51;0;a) …lehet például egy szöveges leírás és egy azonos jelentésű állapotgép.;a) …részletezhetjük a modell működését., b) …részletezhetjük a modell felépítését., c) …részletezhetjük a modell által kezelt adatokat.;a) …tesztbemenet, a) …elvárt kimenet vagy tesztorákulum;a) …egy olyan állapot, amelyből a rendszer a modellezett inputok és események hatására nem képes kilépni, legfeljebb külső (a modellen túlmutató) segítséggel., b) …előfordulhat úgy, hogy a rendszer folyamatai egymásra várakoznak., c) …és a végtelen ciklus között fontos különbség, hogy a végtelen ciklusban történhet állapotváltozás, míg a holtpontban nem.;a) …nemnegatív, c) …kisebb vagy egyenlő az átbocsátóképességnél;a) …nemnegatív, d) …egyensúlyi helyzetben megegyezik az érkezési rátával;b) …időegységenként ugyanannyi folyamatpéldány indul, mint ahány befejeződik, d) …a Little-törvény mindenképpen fennáll;a) …különbség, hogy a szimuláció az erőforrásfoglalások becslése alapján futási eseteket becsül meg, míg a teljesítménymodellen végzett számítások általános összefüggéseket állapítanak meg sok futási eset átlagáról.;a) A boxplotról mindig könnyedén leolvasható az első kvartilis.
5.17.2017 10:47:07;0;a) …egy fejlesztési lépés/lépéssorozat bemenete ill. kimenete., a) …lehet például egy szöveges leírás és egy azonos jelentésű állapotgép.;a) …részletezhetjük a modell működését., b) …részletezhetjük a modell felépítését., c) …részletezhetjük a modell által kezelt adatokat., d) …eszköztől függően akár elkészíthetjük a specifikációnak szánt modell egy implementációját.;a) …tesztbemenet, a) …elvárt kimenet vagy tesztorákulum;a) …egy olyan állapot, amelyből a rendszer a modellezett inputok és események hatására nem képes kilépni, legfeljebb külső (a modellen túlmutató) segítséggel., b) …előfordulhat úgy, hogy a rendszer folyamatai egymásra várakoznak., c) …és a végtelen ciklus között fontos különbség, hogy a végtelen ciklusban történhet állapotváltozás, míg a holtpontban nem.;a) …nemnegatív;a) …nemnegatív, c) …kisebb vagy egyenlő az átbocsátóképességnél, d) …egyensúlyi helyzetben megegyezik az érkezési rátával;b) …időegységenként ugyanannyi folyamatpéldány indul, mint ahány befejeződik, d) …a Little-törvény mindenképpen fennáll;a) …különbség, hogy a szimuláció az erőforrásfoglalások becslése alapján futási eseteket becsül meg, míg a teljesítménymodellen végzett számítások általános összefüggéseket állapítanak meg sok futási eset átlagáról., a) …hasonlóság, hogy mindkét módszer figyelembe veszi az egy tevékenység elvégzésére alkalmas erőforrások számát., c) …hasonlóság, hogy mindkettő támogatja a hierarchikus modelleket (tehát pl. egy összetett tevékenység takarhat több kisebb elemi lépést, különböző erőforrásigényekkel).;a) A boxplotról mindig könnyedén leolvasható az első kvartilis.
5.17.2017 10:52:01;0;;a) …részletezhetjük a modell működését., b) …részletezhetjük a modell felépítését., c) …részletezhetjük a modell által kezelt adatokat.;a) …tesztbemenet;a) …egy olyan állapot, amelyből a rendszer a modellezett inputok és események hatására nem képes kilépni, legfeljebb külső (a modellen túlmutató) segítséggel., b) …előfordulhat úgy, hogy a rendszer folyamatai egymásra várakoznak., c) …és a végtelen ciklus között fontos különbség, hogy a végtelen ciklusban történhet állapotváltozás, míg a holtpontban nem.;a) …nemnegatív;a) …nemnegatív, d) …egyensúlyi helyzetben megegyezik az érkezési rátával;b) …időegységenként ugyanannyi folyamatpéldány indul, mint ahány befejeződik, d) …a Little-törvény mindenképpen fennáll;;c) A boxplotról mindig könnyedén leolvasható a módusz., d) Minden információ, ami a doboz diagramról könnyen leolvasható, a hisztogramról is könnyen leolvasható, emiatt tekintjük a doboz diagramot a hisztogram egyfajta absztrakciójának.
